C00001	CHEBI:15377
C00002	CHEBI:15422
C00003	CHEBI:15846
C00004	CHEBI:16908
C00005	CHEBI:16474
C00006	CHEBI:18009
C00007	CHEBI:15379
C00007	CHEBI:25805
C00008	CHEBI:16761
C00009	CHEBI:18367
C00009	CHEBI:26078
C00010	CHEBI:15346
C00011	CHEBI:16526
C00012	CHEBI:16670
C00013	CHEBI:18361
C00013	CHEBI:29888
C00014	CHEBI:16134
C00015	CHEBI:17659
C00016	CHEBI:16238
C00017	CHEBI:16541
C00018	CHEBI:18405
C00019	CHEBI:15414
C00019	CHEBI:67040
C00020	CHEBI:16027
C00021	CHEBI:16680
C00022	CHEBI:15361
C00022	CHEBI:32816
C00023	CHEBI:18248
C00024	CHEBI:15351
C00025	CHEBI:16015
C00026	CHEBI:16810
C00026	CHEBI:30915
C00027	CHEBI:16240
C00028	CHEBI:15339
C00029	CHEBI:18066
C00029	CHEBI:46229
C00030	CHEBI:17499
C00031	CHEBI:4167
C00032	CHEBI:17627
C00032	CHEBI:26355
C00032	CHEBI:30413
C00033	CHEBI:15366
C00033	CHEBI:30089
C00034	CHEBI:18291
C00035	CHEBI:17552
C00036	CHEBI:16452
C00036	CHEBI:30744
C00037	CHEBI:15428
C00038	CHEBI:27363
C00038	CHEBI:29105
C00039	CHEBI:16991
C00040	CHEBI:17984
C00041	CHEBI:16977
C00042	CHEBI:15741
C00043	CHEBI:16264
C00044	CHEBI:15996
C00045	CHEBI:33704
C00047	CHEBI:18019
C00048	CHEBI:16891
C00049	CHEBI:17053
C00050	CHEBI:33521
C00051	CHEBI:16856
C00052	CHEBI:18307
C00052	CHEBI:67119
C00053	CHEBI:17980
C00054	CHEBI:17985
C00055	CHEBI:17361
C00058	CHEBI:15740
C00058	CHEBI:30751
C00059	CHEBI:16189
C00059	CHEBI:26836
C00060	CHEBI:35757
C00061	CHEBI:17621
C00062	CHEBI:16467
C00063	CHEBI:17677
C00064	CHEBI:18050
C00065	CHEBI:17115
C00066	CHEBI:17843
C00067	CHEBI:16842
C00068	CHEBI:9532
C00069	CHEBI:30879
C00070	CHEBI:28694
C00071	CHEBI:17478
C00072	CHEBI:29073
C00072	CHEBI:38290
C00073	CHEBI:16643
C00074	CHEBI:18021
C00074	CHEBI:44897
C00075	CHEBI:15713
C00076	CHEBI:22984
C00076	CHEBI:29108
C00077	CHEBI:15729
C00078	CHEBI:16828
C00079	CHEBI:17295
C00080	CHEBI:15378
C00080	CHEBI:24636
C00081	CHEBI:16039
C00082	CHEBI:17895
C00083	CHEBI:15531
C00084	CHEBI:15343
