C00001	CHEMBL1098659
C00002	CHEMBL14249
C00003	CHEMBL1234613
C00003	CHEMBL1454168
C00003	CHEMBL3039307
C00004	CHEMBL1234616
C00005	CHEMBL1594246
C00005	CHEMBL407009
C00006	CHEMBL295069
C00006	CHEMBL4299863
C00007	CHEMBL1234886
C00008	CHEMBL14830
C00009	CHEMBL1187
C00010	CHEMBL1213327
C00010	CHEMBL1623949
C00011	CHEMBL1231871
C00013	CHEMBL1160571
C00014	CHEMBL1160819
C00015	CHEMBL130266
C00016	CHEMBL1232653
C00018	CHEMBL82202
C00019	CHEMBL1088977
C00019	CHEMBL224120
C00020	CHEMBL603764
C00020	CHEMBL752
C00021	CHEMBL142828
C00021	CHEMBL418052
C00022	CHEMBL1162144
C00025	CHEMBL575060
C00026	CHEMBL1686
C00027	CHEMBL71595
C00029	CHEMBL375951
C00031	CHEMBL1222250
C00031	CHEMBL1614854
C00031	CHEMBL423707
C00031	CHEMBL98182
C00033	CHEMBL539
C00035	CHEMBL384759
C00036	CHEMBL1794791
C00037	CHEMBL773
C00038	CHEMBL1236970
C00041	CHEMBL279597
C00042	CHEMBL576
C00043	CHEMBL388154
C00044	CHEMBL1233147
C00047	CHEMBL8085
C00048	CHEMBL1162545
C00049	CHEMBL274323
C00051	CHEMBL1514919
C00051	CHEMBL1543
C00052	CHEMBL439009
C00054	CHEMBL574817
C00055	CHEMBL307679
C00058	CHEMBL116736
C00059	CHEMBL572964
C00061	CHEMBL1201794
C00062	CHEMBL1485
C00063	CHEMBL223533
C00064	CHEMBL930
C00065	CHEMBL11298
C00067	CHEMBL1255
C00068	CHEMBL1236235
C00068	CHEMBL1236376
C00072	CHEMBL196
C00073	CHEMBL42336
C00074	CHEMBL1235228
C00075	CHEMBL336296
C00075	CHEMBL4303609
C00077	CHEMBL446143
C00078	CHEMBL54976
C00079	CHEMBL301523
C00081	CHEMBL1233686
C00082	CHEMBL925
C00083	CHEMBL1234355
C00084	CHEMBL170365
C00085	CHEMBL604196
C00086	CHEMBL985
C00087	CHEMBL2105487
C00088	CHEMBL1161681
C00089	CHEMBL253582
C00090	CHEMBL280998
C00092	CHEMBL257975
C00092	CHEMBL4283156
C00093	CHEMBL1232920
C00094	CHEMBL1161699
C00095	CHEMBL604608
C00097	CHEMBL863
C00099	CHEMBL297569
C00101	CHEMBL2021342
C00102	CHEMBL500871
C00104	CHEMBL1233551
C00105	CHEMBL214393
C00106	CHEMBL566
C00108	CHEMBL14173
C00109	CHEMBL171246
C00111	CHEMBL1161998
C00112	CHEMBL425252
C00113	CHEMBL1235421
C00114	CHEMBL920
C00116	CHEMBL692
