C00001	D00001
C00002	D08646
C00003	D00002
C00007	D00003
C00009	D05467
C00011	D00004
C00014	D02916
C00016	D00005
C00020	D02769
C00025	D00007
C00027	D00008
C00031	D00009
C00033	D00010
C00037	D00011
C00041	D00012
C00047	D02304
C00049	D00013
C00051	D00014
C00059	D05963
C00062	D02982
C00064	D00015
C00065	D00016
C00067	D00017
C00072	D00018
C00073	D00019
C00077	D08302
C00078	D00020
C00079	D00021
C00082	D00022
C00086	D00023
C00087	D00024
C00089	D00025
C00097	D00026
C00099	D07561
C00106	D00027
C00114	D07690
C00116	D00028
C00120	D00029
C00122	D02308
C00123	D00030
C00127	D00031
C00132	D02309
C00135	D00032
C00137	D08079
C00146	D00033
C00147	D00034
C00148	D00035
C00153	D00036
C00158	D00037
C00163	D02310
C00180	D00038
C00181	D06346
C00183	D00039
C00184	D07841
C00187	D00040
C00188	D00041
C00189	D05074
C00194	D00042
C00198	D04332
C00202	D00043
C00207	D02311
C00208	D00044
C00212	D00045
C00237	D09706
C00238	D08403
C00243	D00046
C00244	D02313
C00245	D00047
C00248	D00048
C00249	D05341
C00253	D00049
C00255	D00050
C00261	D02314
C00270	D11016
C00280	D00051
C00284	D00052
C00294	D00054
C00295	D00055
C00298	D00056
C00302	D04341
C00307	D00057
C00314	D08454
C00317	D11546
C00318	D02176
C00327	D07706
C00329	D04334
C00334	D00058
C00355	D00059
C00369	D06507
C00372	D00060
C00372	D06539
C00372	D06540
C00372	D06541
C00374	D07510
C00379	D00061
C00384	D08260
C00388	D08040
C00392	D00062
C00397	D00063
C00400	D00064
C00407	D00065
C00410	D00066
C00413	D08531
C00430	D07567
C00468	D00067
C00469	D00068
C00469	D02798
C00469	D04855
C00469	D06542
C00473	D06543
C00475	D07769
C00480	D05363
C00491	D03636
C00494	D02544
C00503	D08915
C00504	D00070
C00516	D00071
C00518	D08043
C00524	D00072
C00530	D00073
C00533	D00074
C00535	D00075
C00547	D00076
C00556	D00077
C00568	D02456
C00583	D00078
C00584	D00079
C00634	D00080
C00639	D00081
C00643	D07339
C00670	D07349
C00695	D10699
C00697	D00083
C00711	D04843
C00712	D02315
C00714	D02316
C00719	D07523
C00721	D00084
C00723	D00085
C00725	D00086
C00732	D00087
C00735	D00088
C00745	D03365
C00746	D00089
C00752	D00090
C00755	D00091
C00760	D00093
C00762	D07749
C00773	D03818
C00777	D00094
C00788	D00095
C00791	D03600
C00794	D00096
C00796	D03798
C00805	D00097
C00808	D06392
C00823	D00099
C00825	D07497
C00832	D07467
C00849	D02319
C00864	D07413
C00887	D00102
C00898	D00103
C00918	D00104
C00925	D08536
C00951	D00105
C00980	D02320
C00984	D04291
C01023	D07840
C01176	D08052
C01227	D08409
C01312	D00106
C01327	D02057
C01349	D03882
C01358	D04594
C01375	D08556
C01382	D00108
C01405	D00109
C01416	D00110
C01432	D00111
C01443	D00112
C01453	D08555
C01457	D02490
C01467	D04951
C01479	D00113
C01498	D00115
C01501	D00116
C01502	D00117
C01516	D08233
C01517	D00118
C01530	D00119
C01531	D00120
C01541	D08682
C01551	D00121
C01553	D02321
C01555	D02322
C01557	D07521
C01564	D07663
C01566	D00123
C01575	D00124
C01576	D00125
C01588	D00126
C01598	D08170
C01608	D00127
C01610	D05653
C01621	D02323
C01661	D03899
C01667	D00128
C01673	D00129
C01675	D07698
C01678	D03634
C01690	D07816
C01691	D00130
C01692	D00131
C01716	D00132
C01733	D04983
C01737	D05140
C01751	D00133
C01753	D08518
C01754	D05908
C01759	D08478
C01768	D02324
C01779	D00134
C01780	D10528
C01790	D07607
C01814	D00136
C01829	D08125
C01844	D08410
C01845	D00137
C01851	D00138
C01864	D00139
C01865	D02328
C01907	D07776
C01912	D00140
C01926	D00141
C01935	D02329
C01937	D00142
C01953	D00143
C01956	D00144
C01965	D00145
C02017	D00146
