ORPHA:117602	HGNC:18145
ORPHA:117605	HGNC:7323
ORPHA:117613	HGNC:13666
ORPHA:117617	HGNC:23
ORPHA:117620	HGNC:14637
ORPHA:117623	HGNC:34
ORPHA:117631	HGNC:42
ORPHA:117639	HGNC:45
ORPHA:117646	HGNC:48
ORPHA:117652	HGNC:53
ORPHA:117658	HGNC:57
ORPHA:117665	HGNC:59
ORPHA:117673	HGNC:60
ORPHA:117677	HGNC:61
ORPHA:117683	HGNC:13886
ORPHA:117685	HGNC:13887
ORPHA:117687	HGNC:21396
ORPHA:117691	HGNC:76
ORPHA:117700	HGNC:89
ORPHA:117705	HGNC:90
ORPHA:117709	HGNC:91
ORPHA:117713	HGNC:92
ORPHA:117718	HGNC:319
ORPHA:117724	HGNC:93
ORPHA:117728	HGNC:2707
ORPHA:117738	HGNC:119
ORPHA:117743	HGNC:3571
ORPHA:117750	HGNC:129
ORPHA:117753	HGNC:143
ORPHA:117757	HGNC:166
ORPHA:117759	HGNC:171
ORPHA:117764	HGNC:175
ORPHA:117771	HGNC:186
ORPHA:117773	HGNC:13201
ORPHA:117776	HGNC:1366
ORPHA:117780	HGNC:218
ORPHA:117785	HGNC:8923
ORPHA:117790	HGNC:8925
ORPHA:117793	HGNC:8926
ORPHA:117797	HGNC:8927
ORPHA:117799	HGNC:691
ORPHA:117805	HGNC:9143
ORPHA:117810	HGNC:8940
ORPHA:117818	HGNC:18858
ORPHA:117820	HGNC:8975
ORPHA:117822	HGNC:14581
ORPHA:117825	HGNC:23785
ORPHA:117832	HGNC:9005
ORPHA:117844	HGNC:9006
ORPHA:117846	HGNC:9008
ORPHA:117849	HGNC:9009
ORPHA:117853	HGNC:9016
ORPHA:117861	HGNC:9020
ORPHA:117868	HGNC:9023
ORPHA:117871	HGNC:9024
ORPHA:117873	HGNC:9039
ORPHA:117877	HGNC:9069
ORPHA:117882	HGNC:24501
ORPHA:117886	HGNC:9071
ORPHA:117888	HGNC:9081
ORPHA:117892	HGNC:9082
ORPHA:117894	HGNC:9086
ORPHA:117898	HGNC:9113
ORPHA:117903	HGNC:9115
ORPHA:117908	HGNC:9118
ORPHA:117913	HGNC:9121
ORPHA:117916	HGNC:9122
ORPHA:117925	HGNC:9179
ORPHA:117927	HGNC:9180
ORPHA:117931	HGNC:9181
ORPHA:117935	HGNC:19139
ORPHA:117939	HGNC:9202
ORPHA:117942	HGNC:19743
ORPHA:117944	HGNC:9208
ORPHA:117948	HGNC:9210
ORPHA:117952	HGNC:9217
ORPHA:117957	HGNC:9220
ORPHA:117961	HGNC:21694
ORPHA:117964	HGNC:9236
ORPHA:117969	HGNC:9280
ORPHA:117973	HGNC:9305
ORPHA:117978	HGNC:9325
ORPHA:117983	HGNC:9330
ORPHA:117989	HGNC:9343
ORPHA:117992	HGNC:32528
ORPHA:117995	HGNC:9360
ORPHA:118000	HGNC:9364
ORPHA:118006	HGNC:9386
ORPHA:118010	HGNC:9388
ORPHA:118014	HGNC:9402
ORPHA:118020	HGNC:9411
ORPHA:118023	HGNC:9449
ORPHA:118030	HGNC:9451
ORPHA:118032	HGNC:9453
ORPHA:118039	HGNC:18455
ORPHA:118044	HGNC:15836
ORPHA:118051	HGNC:9455
ORPHA:118053	HGNC:9456
ORPHA:118056	HGNC:17348
ORPHA:118061	HGNC:15446
ORPHA:118066	HGNC:17340
ORPHA:118070	HGNC:9942
ORPHA:118076	HGNC:9462
ORPHA:118080	HGNC:9475
ORPHA:118083	HGNC:9477
ORPHA:118087	HGNC:9495
ORPHA:118092	HGNC:13797
ORPHA:118095	HGNC:9498
ORPHA:118099	HGNC:9508
ORPHA:118105	HGNC:9509
ORPHA:118111	HGNC:9577
ORPHA:118114	HGNC:9580
ORPHA:118121	HGNC:9585
ORPHA:118126	HGNC:9586
ORPHA:118128	HGNC:9588
ORPHA:118135	HGNC:23734
ORPHA:118138	HGNC:9606
ORPHA:118140	HGNC:9608
ORPHA:118143	HGNC:9644
ORPHA:118151	HGNC:9666
ORPHA:118157	HGNC:9689
ORPHA:118160	HGNC:15508
ORPHA:118162	HGNC:9706
ORPHA:118174	HGNC:9717
ORPHA:118180	HGNC:9725
ORPHA:118182	HGNC:9726
ORPHA:118184	HGNC:9752
ORPHA:118188	HGNC:9766
ORPHA:118194	HGNC:17063
ORPHA:118200	HGNC:17168
ORPHA:118205	HGNC:9788
ORPHA:118208	HGNC:9817
ORPHA:118215	HGNC:9831
ORPHA:118218	HGNC:9832
ORPHA:118220	HGNC:9834
ORPHA:118222	HGNC:9863
ORPHA:118227	HGNC:9864
ORPHA:118231	HGNC:9871
ORPHA:118239	HGNC:9884
ORPHA:118246	HGNC:19689
ORPHA:118250	HGNC:19977
ORPHA:118253	HGNC:9940
ORPHA:118257	HGNC:9949
ORPHA:118260	HGNC:25786
ORPHA:118272	HGNC:9957
ORPHA:118274	HGNC:9967
ORPHA:118283	HGNC:9970
ORPHA:118286	HGNC:9986
ORPHA:118288	HGNC:9987
ORPHA:118293	HGNC:9988
ORPHA:118295	HGNC:9990
ORPHA:118299	HGNC:10004
ORPHA:118301	HGNC:30304
ORPHA:118307	HGNC:10006
ORPHA:118311	HGNC:10008
ORPHA:118315	HGNC:10012
ORPHA:118319	HGNC:17282
ORPHA:118326	HGNC:10024
ORPHA:118329	HGNC:18518
ORPHA:118335	HGNC:25671
ORPHA:118340	HGNC:24116
ORPHA:118344	HGNC:10050
ORPHA:118347	HGNC:17023
ORPHA:118352	HGNC:13433
