MONDO:0019540	HP:0025420
MONDO:0004568	HP:0002590
MONDO:0004585	HP:0001561
MONDO:0004686	HP:0001149
MONDO:0004697	HP:0012859
MONDO:0004737	HP:0002156
MONDO:0004747	HP:0410030
MONDO:0004754	HP:0002035
MONDO:0004758	HP:0000575
MONDO:0004770	HP:0000520
MONDO:0004773	HP:0001094
MONDO:0004823	HP:0001651
MONDO:0004846	HP:0011419
MONDO:0004910	HP:0001634
MONDO:0004975	HP:0002511
MONDO:0004981	HP:0005110
MONDO:0004997	HP:0030432
MONDO:0005001	HP:0005231
MONDO:0005021	HP:0001644
MONDO:0005055	HP:0100726
MONDO:0005098	HP:0001297
MONDO:0005099	HP:0002138
MONDO:0005101	HP:0100279
MONDO:0005160	HP:0004942
MONDO:0005166	HP:0100246
MONDO:0005173	HP:0025127
MONDO:0005178	HP:0002758
MONDO:0005230	HP:0100658
MONDO:0005260	HP:0000717
MONDO:0005262	HP:0030724
MONDO:0005279	HP:0002204
MONDO:0005288	HP:0005266
MONDO:0005296	HP:0010535
MONDO:0005297	HP:0500006
MONDO:0005310	HP:0004749
MONDO:0005345	HP:0000047
MONDO:0005347	HP:0002155
MONDO:0005349	HP:0000362
MONDO:0005362	HP:0000802
MONDO:0005369	HP:0100570
MONDO:0005412	HP:0002588
MONDO:0005463	HP:0004380
MONDO:0005466	HP:0100786
MONDO:0005469	HP:0001278
MONDO:0005475	HP:0002077
MONDO:0005489	HP:0010522
MONDO:0005492	HP:0001025
MONDO:0005520	HP:0002748
MONDO:0005541	HP:0003304
MONDO:0005667	HP:0012396
MONDO:0005674	HP:0011847
MONDO:0005712	HP:0000639
MONDO:0005783	HP:0011851
MONDO:0005803	HP:0000825
MONDO:0005804	HP:0000870
MONDO:0005898	HP:0001818
MONDO:0005936	HP:0006532
MONDO:0005965	HP:0003416
MONDO:0005997	HP:0010446
MONDO:0006007	HP:0000076
MONDO:0006123	HP:0009729
MONDO:0006190	HP:0030393
MONDO:0006651	HP:0012122
MONDO:0006814	HP:0001101
MONDO:0007915	HP:0002725
MONDO:0009116	HP:0004789
MONDO:0009172	HP:0004387
MONDO:0011122	HP:0001513
MONDO:0011786	HP:0003193
MONDO:0015265	HP:0011946
MONDO:0017181	HP:0012459
MONDO:0018667	HP:0011919
MONDO:0019340	HP:0100324
MONDO:0020283	HP:0000554
MONDO:0020678	HP:0000407
MONDO:0037748	HP:0010980
MONDO:0041161	HP:0040298
MONDO:0041261	HP:0001941
MONDO:0010805	HP:0002836
MONDO:0010837	HP:0008200
MONDO:0011182	HP:0003614
MONDO:0011414	HP:0000659
MONDO:0011514	HP:0011662
MONDO:0011847	HP:0002083
MONDO:0011927	HP:0012329
MONDO:0018646	HP:0030991
MONDO:0020525	HP:0008255
MONDO:0021003	HP:0010442
MONDO:0024246	HP:0031018
MONDO:0002443	HP:0003763
MONDO:0002454	HP:0000854
MONDO:0002461	HP:0000793
MONDO:0002465	HP:0011950
MONDO:0002598	HP:0100620
MONDO:0002613	HP:0012077
MONDO:0002615	HP:0000991
MONDO:0002660	HP:0010749
MONDO:0002697	HP:0000149
MONDO:0002698	HP:0000030
MONDO:0002735	HP:0030439
MONDO:0002829	HP:0030419
MONDO:0002904	HP:0010529
MONDO:0003002	HP:0100621
MONDO:0003019	HP:0002900
MONDO:0003038	HP:0010526
MONDO:0003223	ONCOTREE:HPCCNS
MONDO:0003227	HP:0010528
MONDO:0003304	HP:0009732
MONDO:0003308	HP:0100002
MONDO:0003329	HP:0006000
MONDO:0003362	HP:0006755
MONDO:0003367	HP:0031025
MONDO:0003645	HP:0007486
MONDO:0003669	HP:0100617
MONDO:0003783	HP:0001888
MONDO:0003805	HP:0100004
MONDO:0003865	HP:0012060
MONDO:0004348	HP:0007763
MONDO:0004830	HP:0100537
MONDO:0004986	HP:0002862
MONDO:0005034	HP:0006731
MONDO:0005035	HP:0006747
MONDO:0005068	HP:0001658
MONDO:0005075	HP:0002895
MONDO:0005075	ONCOTREE:THPA
MONDO:0005086	HP:0005584
MONDO:0005164	HP:0100244
MONDO:0005207	HP:0100768
MONDO:0005212	HP:0002859
MONDO:0005233	HP:0030358
MONDO:0005236	HP:0001114
MONDO:0005341	HP:0002671
MONDO:0005478	HP:0001664
MONDO:0006456	HP:0100522
MONDO:0006640	HP:0003118
MONDO:0006882	HP:0100796
MONDO:0006890	HP:0002897
MONDO:0008978	HP:0010762
MONDO:0009807	HP:0002669
MONDO:0010434	HP:0012570
MONDO:0011655	HP:0012218
MONDO:0017582	HP:0011763
MONDO:0009374	HP:0003260
MONDO:0009388	HP:0002161
MONDO:0009576	HP:0000485
MONDO:0009576	HP:0007660
MONDO:0009628	HP:0004388
MONDO:0009774	HP:0010475
MONDO:0009808	HP:0030433
MONDO:0009813	HP:0005901
MONDO:0009825	HP:0040142
MONDO:0009870	HP:0003777
MONDO:0009930	HP:0006548
MONDO:0009938	HP:0001642
MONDO:0009994	HP:0006779
MONDO:0010029	HP:0001696
MONDO:0010096	HP:0040141
MONDO:0010098	HP:0000679
MONDO:0010167	HP:0012237
MONDO:0010481	HP:0100665
MONDO:0010528	HP:0000458
MONDO:0010562	HP:0010448
MONDO:0010594	HP:0000119
MONDO:0010643	HP:0002488
MONDO:0015193	HP:0001789
MONDO:0016535	HP:0007607
MONDO:0017304	HP:0001107
MONDO:0017985	HP:0002974
MONDO:0018106	HP:0010934
MONDO:0018242	HP:0011771
MONDO:0018641	HP:0004818
MONDO:0019005	HP:0000090
MONDO:0019306	HP:0007431
MONDO:0012494	HP:0012215
MONDO:0013577	HP:0100695
MONDO:0013663	HP:0040175
MONDO:0017666	HP:0007435
MONDO:0021002	HP:0001159
MONDO:0020773	HP:0030998
MONDO:0020920	HP:0002740
MONDO:0021642	HP:0100677
MONDO:0021643	HP:0002626
MONDO:0021718	HP:0031003
MONDO:0021902	HP:0011604
MONDO:0024677	HP:0012197
MONDO:0028737	HP:0005912
MONDO:0042727	HP:0030736
MONDO:0044638	ONCOTREE:HPHSC
