DB00001	CHEMBL1201666
DB00002	CHEMBL1201577
DB00003	CHEMBL1201431
DB00004	CHEMBL1201550
DB00005	CHEMBL1201572
DB00006	CHEMBL2103749
DB00007	CHEMBL1201199
DB00008	CHEMBL1201560
DB00009	CHEMBL1201593
DB00011	CHEMBL2108509
DB00012	CHEMBL1201566
DB00013	CHEMBL1201420
DB00014	CHEMBL1201247
DB00015	CHEMBL2107885
DB00016	CHEMBL1201565
DB00018	CHEMBL2109047
DB00019	CHEMBL1201568
DB00020	CHEMBL1201670
DB00022	CHEMBL1201561
DB00023	CHEMBL2108989
DB00024	CHEMBL1201533
DB00025	CHEMBL2108175
DB00026	CHEMBL1201570
DB00027	CHEMBL557217
DB00029	CHEMBL2108250
DB00031	CHEMBL2108791
DB00032	CHEMBL2108427
DB00033	CHEMBL1201564
DB00035	CHEMBL1429
DB00038	CHEMBL1201573
DB00039	CHEMBL1201821
DB00040	CHEMBL266481
DB00041	CHEMBL1201438
DB00042	CHEMBL1201569
DB00043	CHEMBL1201589
DB00044	CHEMBL1201419
DB00046	CHEMBL1201538
DB00047	CHEMBL1201497
DB00049	CHEMBL1201594
DB00050	CHEMBL1200490
DB00051	CHEMBL1201580
DB00052	CHEMBL1201621
DB00053	CHEMBL1201632
DB00054	CHEMBL1201584
DB00056	CHEMBL1201506
DB00057	CHEMBL1743091
DB00059	CHEMBL2108546
DB00060	CHEMBL1201562
DB00061	CHEMBL1201514
DB00062	CHEMBL1201451
DB00063	CHEMBL1174
DB00065	CHEMBL1201581
DB00066	CHEMBL1201692
DB00067	CHEMBL373742
DB00068	CHEMBL1201563
DB00069	CHEMBL1201557
DB00070	CHEMBL1201636
DB00072	CHEMBL1201585
DB00073	CHEMBL1201576
DB00074	CHEMBL1201439
DB00075	CHEMBL1201608
DB00080	CHEMBL387675
DB00081	CHEMBL1201604
DB00082	CHEMBL1201515
DB00085	CHEMBL2108074
DB00086	CHEMBL2108147
DB00087	CHEMBL1201587
DB00088	CHEMBL1201633
DB00089	CHEMBL2108285
DB00090	CHEMBL1201595
DB00091	CHEMBL160
DB00092	CHEMBL1201571
DB00093	CHEMBL3185126
DB00094	CHEMBL1201520
DB00095	CHEMBL1201575
DB00097	CHEMBL1201464
DB00099	CHEMBL1201567
DB00102	CHEMBL1201556
DB00103	CHEMBL2108888
DB00104	CHEMBL1680
DB00106	CHEMBL1252
DB00107	CHEMBL395429
DB00108	CHEMBL1201607
DB00109	CHEMBL525076
DB00110	CHEMBL1201586
DB00111	CHEMBL1201605
DB00112	CHEMBL1201583
DB00113	CHEMBL2108253
DB00114	CHEMBL82202
DB00115	CHEMBL2110563
DB00116	CHEMBL2021342
DB00117	CHEMBL17962
DB00118	CHEMBL1088977
DB00119	CHEMBL1162144
DB00120	CHEMBL301523
DB00121	CHEMBL857
DB00122	CHEMBL920
DB00123	CHEMBL8085
DB00125	CHEMBL1485
DB00126	CHEMBL196
DB00127	CHEMBL23194
DB00128	CHEMBL274323
DB00129	CHEMBL446143
DB00130	CHEMBL930
DB00131	CHEMBL752
DB00132	CHEMBL8739
DB00133	CHEMBL11298
DB00134	CHEMBL42336
DB00135	CHEMBL925
DB00136	CHEMBL846
DB00137	CHEMBL173929
DB00138	CHEMBL590540
DB00139	CHEMBL576
DB00140	CHEMBL1534
DB00141	CHEMBL447878
DB00142	CHEMBL575060
DB00143	CHEMBL1543
DB00144	CHEMBL4297669
DB00145	CHEMBL773
DB00146	CHEMBL1040
DB00147	CHEMBL102970
DB00148	CHEMBL283800
DB00149	CHEMBL291962
DB00150	CHEMBL54976
DB00151	CHEMBL863
DB00152	CHEMBL1547
DB00153	CHEMBL1536
DB00154	CHEMBL465183
DB00155	CHEMBL444814
DB00156	CHEMBL291747
DB00158	CHEMBL1622
DB00159	CHEMBL460026
DB00160	CHEMBL279597
DB00161	CHEMBL43068
DB00162	CHEMBL986
DB00163	CHEMBL47
DB00165	CHEMBL1364
DB00166	CHEMBL134342
DB00167	CHEMBL1233584
DB00168	CHEMBL171679
DB00169	CHEMBL1042
DB00170	CHEMBL590
DB00171	CHEMBL14249
DB00172	CHEMBL54922
DB00173	CHEMBL226345
DB00174	CHEMBL58832
DB00175	CHEMBL1144
DB00176	CHEMBL814
DB00177	CHEMBL1069
DB00178	CHEMBL1168
DB00179	CHEMBL313972
DB00180	CHEMBL1512
DB00181	CHEMBL701
DB00182	CHEMBL405
DB00183	CHEMBL1328
DB00184	CHEMBL3
DB00186	CHEMBL580
DB00187	CHEMBL768
DB00188	CHEMBL325041
DB00189	CHEMBL591
DB00190	CHEMBL1201236
DB00191	CHEMBL1574
DB00192	CHEMBL1201242
DB00193	CHEMBL1066
DB00194	CHEMBL1090
DB00195	CHEMBL423
DB00196	CHEMBL106
DB00197	CHEMBL408
DB00198	CHEMBL1229
DB00199	CHEMBL532
DB00200	CHEMBL2103737
DB00201	CHEMBL113
DB00202	CHEMBL703
DB00203	CHEMBL192
DB00204	CHEMBL473
DB00205	CHEMBL36
DB00206	CHEMBL772
DB00207	CHEMBL529
DB00208	CHEMBL833
DB00209	CHEMBL1888176
DB00210	CHEMBL1265
DB00211	CHEMBL1201212
DB00212	CHEMBL31601
DB00213	CHEMBL1502
DB00214	CHEMBL1148
DB00215	CHEMBL549
DB00216	CHEMBL1510
DB00217	CHEMBL1201260
DB00218	CHEMBL32
DB00219	CHEMBL1201286
DB00220	CHEMBL584
DB00221	CHEMBL1201213
DB00222	CHEMBL1481
DB00223	CHEMBL1201380
DB00224	CHEMBL115
DB00226	CHEMBL1037
DB00227	CHEMBL503
DB00228	CHEMBL1257
DB00229	CHEMBL1296
DB00230	CHEMBL1059
DB00231	CHEMBL967
DB00232	CHEMBL1577
DB00233	CHEMBL1169
DB00234	CHEMBL383921
DB00235	CHEMBL189
DB00236	CHEMBL1585
DB00237	CHEMBL449
DB00238	CHEMBL57
DB00239	CHEMBL1262
DB00240	CHEMBL1201361
DB00241	CHEMBL454
DB00242	CHEMBL1619
DB00243	CHEMBL1404
DB00244	CHEMBL704
DB00245	CHEMBL1201203
DB00246	CHEMBL708
DB00247	CHEMBL485253
DB00248	CHEMBL1201087
DB00249	CHEMBL788
DB00250	CHEMBL1043
DB00251	CHEMBL1306
DB00252	CHEMBL16
DB00253	CHEMBL1201173
DB00254	CHEMBL1433
DB00255	CHEMBL411
DB00256	CHEMBL2103929
DB00257	CHEMBL104
DB00258	CHEMBL1200800
DB00259	CHEMBL21
DB00260	CHEMBL771
DB00261	CHEMBL760
DB00262	CHEMBL513
DB00263	CHEMBL453
DB00264	CHEMBL13
DB00265	CHEMBL1200709
DB00266	CHEMBL1466
DB00267	CHEMBL1201224
DB00268	CHEMBL589
DB00269	CHEMBL1200761
DB00270	CHEMBL1648
DB00271	CHEMBL1201220
DB00272	CHEMBL1201323
DB00273	CHEMBL220492
DB00274	CHEMBL1201195
DB00275	CHEMBL1516
DB00276	CHEMBL43
DB00277	CHEMBL190
DB00278	CHEMBL1166
DB00279	CHEMBL1544
DB00280	CHEMBL517
DB00281	CHEMBL79
DB00282	CHEMBL834
DB00283	CHEMBL1626
DB00284	CHEMBL1566
DB00285	CHEMBL637
DB00286	CHEMBL2106240
DB00287	CHEMBL1200799
DB00288	CHEMBL1200732
DB00289	CHEMBL641
DB00290	CHEMBL403664
DB00291	CHEMBL515
DB00292	CHEMBL681
DB00293	CHEMBL225071
DB00294	CHEMBL1531
DB00295	CHEMBL70
DB00296	CHEMBL1077896
DB00297	CHEMBL1098
DB00298	CHEMBL1201216
DB00299	CHEMBL1540
DB00300	CHEMBL1538
DB00301	CHEMBL222645
DB00302	CHEMBL877
DB00303	CHEMBL1359
DB00304	CHEMBL1533
DB00305	CHEMBL105
DB00306	CHEMBL1200802
DB00307	CHEMBL1023
DB00308	CHEMBL533
DB00309	CHEMBL238071
DB00310	CHEMBL1055
DB00311	CHEMBL18
DB00312	CHEMBL448
DB00313	CHEMBL109
DB00314	CHEMBL2303634
DB00315	CHEMBL1185
DB00316	CHEMBL112
DB00317	CHEMBL939
DB00318	CHEMBL485
DB00319	CHEMBL702
DB00320	CHEMBL1732
DB00321	CHEMBL629
DB00322	CHEMBL917
DB00323	CHEMBL1324
DB00324	CHEMBL1200600
DB00325	CHEMBL2097081
DB00326	CHEMBL1237066
DB00327	CHEMBL398707
DB00328	CHEMBL6
DB00330	CHEMBL44884
DB00331	CHEMBL1431
DB00332	CHEMBL1621597
DB00333	CHEMBL651
DB00334	CHEMBL715
DB00335	CHEMBL24
DB00336	CHEMBL869
DB00337	CHEMBL1200686
DB00338	CHEMBL1503
DB00339	CHEMBL614
DB00340	CHEMBL1201342
DB00341	CHEMBL1000
DB00342	CHEMBL17157
DB00343	CHEMBL23
DB00344	CHEMBL668
DB00345	CHEMBL463
DB00346	CHEMBL709
DB00347	CHEMBL695
DB00348	CHEMBL1337
DB00349	CHEMBL70418
DB00350	CHEMBL802
DB00351	CHEMBL1201139
DB00352	CHEMBL727
DB00353	CHEMBL1201356
DB00354	CHEMBL1201271
DB00355	CHEMBL158
DB00356	CHEMBL1371
DB00357	CHEMBL488
DB00358	CHEMBL416956
DB00359	CHEMBL439
DB00360	CHEMBL1201774
DB00361	CHEMBL553025
DB00362	CHEMBL264241
DB00363	CHEMBL42
DB00364	CHEMBL2029132
DB00365	CHEMBL583
DB00366	CHEMBL1004
DB00367	CHEMBL1389
DB00368	CHEMBL1437
DB00369	CHEMBL152
DB00370	CHEMBL654
DB00371	CHEMBL979
DB00372	CHEMBL1378
DB00373	CHEMBL499
DB00374	CHEMBL1237119
DB00375	CHEMBL1909303
DB00376	CHEMBL1490
DB00377	CHEMBL1189679
DB00378	CHEMBL1200853
DB00379	CHEMBL558
DB00380	CHEMBL1738
DB00381	CHEMBL1491
DB00382	CHEMBL95
DB00383	CHEMBL1495
DB00384	CHEMBL585
DB00385	CHEMBL1096885
DB00387	CHEMBL86715
DB00388	CHEMBL1215
DB00389	CHEMBL508102
DB00390	CHEMBL1751
DB00391	CHEMBL26
DB00392	CHEMBL1206
DB00393	CHEMBL1428
DB00394	CHEMBL1200500
DB00395	CHEMBL1233
DB00396	CHEMBL103
DB00397	CHEMBL136560
DB00398	CHEMBL1336
DB00399	CHEMBL924
DB00400	CHEMBL562
DB00401	CHEMBL1726
DB00402	CHEMBL1522
DB00403	CHEMBL1201355
DB00404	CHEMBL661
DB00405	CHEMBL1201287
DB00406	CHEMBL459265
DB00408	CHEMBL831
DB00409	CHEMBL22242
DB00410	CHEMBL719
DB00411	CHEMBL965
DB00412	CHEMBL121
DB00413	CHEMBL301265
DB00414	CHEMBL1589
DB00415	CHEMBL174
DB00416	CHEMBL1739
DB00417	CHEMBL615
DB00418	CHEMBL447
DB00419	CHEMBL1029
DB00420	CHEMBL564
DB00421	CHEMBL1393
DB00422	CHEMBL796
DB00423	CHEMBL1201117
DB00424	CHEMBL1331216
DB00425	CHEMBL911
DB00426	CHEMBL880
DB00427	CHEMBL855
DB00428	CHEMBL1603
DB00429	CHEMBL1237105
DB00430	CHEMBL1201204
DB00431	CHEMBL15891
DB00432	CHEMBL1129
DB00433	CHEMBL728
DB00434	CHEMBL516
DB00435	CHEMBL1200689
DB00436	CHEMBL1684
DB00437	CHEMBL1467
DB00438	CHEMBL44354
DB00439	CHEMBL1477
DB00440	CHEMBL22
DB00441	CHEMBL888
DB00442	CHEMBL713
DB00443	CHEMBL632
DB00444	CHEMBL452231
DB00445	CHEMBL417
DB00446	CHEMBL130
DB00447	CHEMBL1013
DB00448	CHEMBL480
DB00449	CHEMBL1201262
DB00450	CHEMBL1108
DB00451	CHEMBL1624
DB00452	CHEMBL184618
DB00453	CHEMBL2106071
DB00454	CHEMBL607
DB00455	CHEMBL998
DB00456	CHEMBL617
DB00457	CHEMBL2
DB00458	CHEMBL11
DB00459	CHEMBL1131
DB00460	CHEMBL2052016
DB00461	CHEMBL1070
DB00462	CHEMBL1354199
DB00463	CHEMBL450
DB00464	CHEMBL1200354
DB00465	CHEMBL469
DB00466	CHEMBL1908342
DB00467	CHEMBL826
DB00468	CHEMBL170
DB00469	CHEMBL302795
DB00470	CHEMBL465
DB00471	CHEMBL787
DB00472	CHEMBL41
DB00473	CHEMBL1197
DB00474	CHEMBL7413
DB00475	CHEMBL451
DB00476	CHEMBL1175
DB00477	CHEMBL71
DB00478	CHEMBL959
DB00479	CHEMBL177
DB00480	CHEMBL848
DB00481	CHEMBL81
DB00482	CHEMBL118
DB00483	CHEMBL1200993
DB00484	CHEMBL844
DB00485	CHEMBL893
DB00486	CHEMBL947
DB00487	CHEMBL267648
