DB00005	C07897
DB00007	C07612
DB00010	C08192
DB00017	C06865
DB00030	C00723
DB00035	C06944
DB00036	C03378
DB00040	C01501
DB00048	C00816
DB00067	C00840
DB00068	C07901
DB00080	C12013
DB00083	C07946
DB00091	C05086
DB00100	C03101
DB00104	C07306
DB00107	C00746
DB00114	C00018
DB00115	C02823
DB00116	C00101
DB00117	C00135
DB00118	C00019
DB00119	C00022
DB00120	C00079
DB00121	C00120
DB00122	C00114
DB00123	C00047
DB00125	C00062
DB00126	C00072
DB00127	C00750
DB00128	C00049
DB00129	C00077
DB00130	C00064
DB00131	C00020
DB00132	C06427
DB00133	C00065
DB00134	C00073
DB00135	C00082
DB00136	C01673
DB00137	C08601
DB00138	C00491
DB00139	C00042
DB00140	C00255
DB00141	C00140
DB00142	C00025
DB00143	C02471
DB00145	C00037
DB00146	C01561
DB00147	C00250
DB00148	C00300
DB00149	C00123
DB00150	C00078
DB00151	C00097
DB00152	C00378
DB00153	C05441
DB00154	C03242
DB00155	C00327
DB00156	C00188
DB00157	C00004
DB00158	C00504
DB00159	C06428
DB00160	C00041
DB00161	C00183
DB00162	C17276
DB00163	C02477
DB00165	C00314
DB00166	C16241
DB00167	C00407
DB00168	C11045
DB00169	C05443
DB00170	C05377
DB00171	C00002
DB00172	C00148
DB00173	C00147
DB00174	C00152
DB00175	C01844
DB00176	C07571
DB00179	C10719
DB00180	C07005
DB00182	C07514
DB00184	C00745
DB00187	C06980
DB00189	C07833
DB00191	C07438
DB00193	C07153
DB00194	C07195
DB00195	C06849
DB00198	C08092
DB00199	C01912
DB00200	C08230
DB00201	C07481
DB00202	C07546
DB00203	C07259
DB00204	C07751
DB00205	C07391
DB00206	C06539
DB00207	C06838
DB00208	C07140
DB00211	C07890
DB00212	C07465
DB00213	C11806
DB00215	C07572
DB00218	C07663
DB00220	C07257
DB00221	C07053
DB00222	C07669
DB00224	C07051
DB00226	C07035
DB00227	C07074
DB00228	C07516
DB00231	C07125
DB00232	C07765
DB00233	C02518
DB00235	C07224
DB00236	C07362
DB00237	C07827
DB00238	C07263
DB00239	C08074
DB00245	C06846
DB00246	C07568
DB00247	C07199
DB00248	C08187
DB00250	C07666
DB00251	C08080
DB00252	C07443
DB00253	C14643
DB00254	C06973
DB00255	C07620
DB00257	C06922
DB00259	C07458
DB00260	C08057
DB00262	C06873
DB00263	C07318
DB00264	C07202
DB00266	C00796
DB00268	C07564
DB00273	C07502
DB00274	C08103
DB00276	C01553
DB00277	C07130
DB00278	C04931
DB00279	C02465
DB00280	C06965
DB00281	C07073
DB00282	C07395
DB00283	C06913
DB00284	C06802
DB00285	C07187
DB00290	C06854
DB00291	C06900
DB00292	C07522
DB00293	C11372
DB00295	C01516
DB00296	C07532
DB00297	C07529
DB00299	C07417
DB00301	C11748
DB00304	C07629
DB00305	C06681
DB00308	C07753
DB00312	C07422
DB00313	C07185
DB00314	C01790
DB00315	C07218
DB00316	C06804
DB00318	C06174
DB00319	C14034
DB00320	C07798
DB00321	C06824
DB00322	C11736
DB00323	C07949
DB00325	C07269
DB00327	C07042
DB00328	C01926
DB00330	C06984
DB00331	C07151
DB00332	C07052
DB00333	C07163
DB00334	C07322
DB00336	C08042
DB00338	C07324
DB00339	C01956
DB00341	C07778
DB00342	C07463
DB00343	C06958
DB00344	C07408
DB00351	C08151
DB00352	C07648
DB00354	C07777
DB00355	C06840
DB00356	C07931
DB00357	C07617
DB00358	C07633
DB00359	C07658
DB00360	C00272
DB00363	C06924
DB00364	C07314
DB00365	C11368
DB00367	C08153
DB00368	C00547
DB00369	C06909
DB00370	C07570
DB00372	C07132
DB00373	C07141
DB00375	C06925
DB00376	C07171
DB00379	C07220
DB00381	C06825
