DB00001	P01050
DB00003	P24855
DB00004	P00587
DB00005	P20333
DB00008	P01563
DB00009	P00750
DB00011	P01563
DB00012	P01588
DB00013	P00749
DB00015	P00750
DB00016	P01588
DB00017	P01263
DB00019	P09919
DB00020	P04141
DB00022	P01563
DB00023	P37595
DB00024	P01225
DB00025	P00451
DB00026	P18510
DB00028	P01877
DB00029	P00750
DB00030	Q8HXV2
DB00031	P00750
DB00032	P01229
DB00033	P01579
DB00034	P01563
DB00036	P08709
DB00038	P20809
DB00039	P21781
DB00040	Q8MJ25
DB00041	P60569
DB00042	P10844
DB00043	P01857
DB00044	P01229
DB00045	P14013
DB00049	Q00511
DB00051	P01857
DB00052	P58756
DB00053	P04062
DB00055	P04070
DB00058	P01009
DB00059	P37595
DB00060	P01574
DB00061	P56658
DB00062	P02768
DB00065	P01857
DB00066	P01225
DB00068	P01574
DB00070	P38567
DB00071	Q8HXV2
DB00072	P01857
DB00073	P01857
DB00074	P01857
DB00078	P01865
DB00081	P01857
DB00082	P58756
DB00083	P10845
DB00085	P04746
DB00086	P00779
DB00088	P04062
DB00090	P35475
DB00094	P01225
DB00097	P01233
DB00099	P09919
DB00100	P00740
DB00102	P01127
DB00103	P06280
DB00105	P01563
DB00109	Q70626
DB00111	P01857
DB01269	P01859
DB01584	P01266
DB04899	P16860
DB04925	P98119
DB04963	Q05329
DB04976	P04179
DB05237	P11226
DB05472	P05000
DB05829	P01270
DB06404	P05155
DB06511	O00300
DB06655	P01275
DB06720	P04062
DB08869	P01286
DB08886	P06608
DB08898	P06621
DB09045	P43220
DB09046	P41159
DB09051	P34059
DB09228	P05155
DB11563	P38571
DB11639	P12643
DB15591	P01160
