GO_0004039	R00005
GO_0003834	R00032
GO_0003951	R00104
GO_0004140	R00130
GO_0004087	R00149
GO_0003919	R00161
GO_0004014	R00178
GO_0003986	R00227
GO_0004021	R00258
GO_0004042	R00259
GO_0003979	R00286
GO_0003983	R00289
GO_0003878	R00352
GO_0004069	R00355
GO_0003977	R00416
GO_0003934	R00424
GO_0003935	R00425
GO_0004072	R00480
GO_0000257	R00540
GO_0004054	R00554
GO_0003870	R00830
GO_0004123	R01001
GO_0004103	R01021
GO_0004102	R01023
GO_0004139	R01066
GO_0004044	R01072
GO_0004048	R01073
GO_0004076	R01078
GO_0004018	R01083
GO_0004163	R01121
GO_0003920	R01134
GO_0004019	R01135
GO_0004085	R01178
GO_0003852	R01213
GO_0003858	R01361
GO_0004070	R01397
GO_0004083	R01516
GO_0004052	R01596
GO_0004107	R01714
GO_0004106	R01715
GO_0003881	R01802
GO_0003849	R01826
GO_0004152	R01868
GO_0004111	R01881
GO_0004138	R01967
GO_0004151	R01993
GO_0000234	R02037
GO_0004136	R02089
GO_0004170	R02100
GO_0003992	R02283
GO_0004073	R02291
GO_0004173	R02375
GO_0004092	R02396
GO_0004221	R02418
GO_0004037	R02422
GO_0003850	R02587
GO_0000334	R02665
GO_0003885	R02715
GO_0003873	R02732
GO_0004032	R02820
GO_0003859	R03027
GO_0003856	R03083
GO_0003855	R03084
GO_0004141	R03182
GO_0000250	R03199
GO_0004109	R03220
GO_0004015	R03231
GO_0003948	R03421
GO_0003866	R03460
GO_0003848	R03503
GO_0004167	R03673
GO_0003840	R04159
GO_0004110	R04165
GO_0003874	R04286
GO_0001760	R04323
GO_0003871	R04405
GO_0003949	R04640
GO_0000908	R05320
GO_0000010	R05612
GO_0000246	R05641
GO_0000823	R05800
GO_0000285	R05802
GO_0003827	R05983
GO_0001567	R07218
GO_0000832	R09087
GO_0001680	R09382
GO_0004427	R00004
GO_0004655	R00036
GO_0004746	R00066
GO_0004418	R00084
GO_0004355	R00114
