D00001	CHEMBL1098659
D00002	CHEMBL1234613
D00002	CHEMBL1454168
D00002	CHEMBL3039307
D00003	CHEMBL1234886
D00004	CHEMBL1231871
D00005	CHEMBL1232653
D00006	CHEMBL3181870
D00007	CHEMBL575060
D00008	CHEMBL71595
D00009	CHEMBL1222250
D00009	CHEMBL1614854
D00009	CHEMBL423707
D00009	CHEMBL98182
D00010	CHEMBL539
D00011	CHEMBL773
D00012	CHEMBL279597
D00013	CHEMBL274323
D00014	CHEMBL1514919
D00014	CHEMBL1543
D00015	CHEMBL930
D00016	CHEMBL11298
D00017	CHEMBL1255
D00018	CHEMBL196
D00019	CHEMBL42336
D00020	CHEMBL54976
D00021	CHEMBL301523
D00022	CHEMBL925
D00023	CHEMBL985
D00024	CHEMBL2105487
D00025	CHEMBL253582
D00026	CHEMBL863
D00027	CHEMBL566
D00028	CHEMBL692
D00029	CHEMBL857
D00030	CHEMBL291962
D00031	CHEMBL1372
D00032	CHEMBL17962
D00033	CHEMBL14060
D00034	CHEMBL226345
D00035	CHEMBL54922
D00036	CHEMBL1140
D00037	CHEMBL1261
D00038	CHEMBL541
D00039	CHEMBL43068
D00040	CHEMBL112570
D00040	CHEMBL1867358
D00041	CHEMBL291747
D00043	CHEMBL1025
D00044	CHEMBL1908365
D00045	CHEMBL477
D00046	CHEMBL417016
D00047	CHEMBL239243
D00048	CHEMBL1403899
D00049	CHEMBL573
D00050	CHEMBL1534
D00051	CHEMBL2140059
D00051	CHEMBL274826
D00052	CHEMBL858
D00054	CHEMBL1556
D00054	CHEMBL462399
D00055	CHEMBL1235017
D00057	CHEMBL1231700
D00057	CHEMBL1618340
D00058	CHEMBL96
D00059	CHEMBL1009
D00061	CHEMBL1369426
D00061	CHEMBL1865120
D00061	CHEMBL3137744
D00061	CHEMBL96783
D00062	CHEMBL689
D00063	CHEMBL1747
D00064	CHEMBL470670
D00065	CHEMBL1233584
D00065	CHEMBL1869615
D00066	CHEMBL103
D00067	CHEMBL1405
D00068	CHEMBL545
D00070	CHEMBL1622
D00073	CHEMBL537
D00074	CHEMBL1200689
D00075	CHEMBL386630
D00075	CHEMBL67934
D00076	CHEMBL1437
D00077	CHEMBL720
D00078	CHEMBL286398
D00079	CHEMBL548
D00081	CHEMBL1903583
D00081	CHEMBL815
D00082	CHEMBL3989779
D00083	CHEMBL142438
D00086	CHEMBL33864
D00087	CHEMBL476869
D00088	CHEMBL1092578
D00088	CHEMBL196519
D00088	CHEMBL389621
D00089	CHEMBL395429
D00089	CHEMBL4303358
D00091	CHEMBL13883
D00094	CHEMBL38
