ORPHA:117602	SwissProt:Q8IWS0
ORPHA:117605	SwissProt:Q9UHD8
ORPHA:117613	SwissProt:Q9NRG9
ORPHA:117617	SwissProt:P80404
ORPHA:117620	SwissProt:Q86UK0
ORPHA:117623	SwissProt:P78363
ORPHA:117631	SwissProt:O95342
ORPHA:117639	SwissProt:P21439
ORPHA:117646	SwissProt:O75027
ORPHA:117652	SwissProt:Q92887
ORPHA:117658	SwissProt:O95255
ORPHA:117665	SwissProt:Q09428
ORPHA:117673	SwissProt:O60706
ORPHA:117677	SwissProt:P33897
ORPHA:117683	SwissProt:Q9H222
ORPHA:117685	SwissProt:Q9H221
ORPHA:117687	SwissProt:Q8WTS1
ORPHA:117691	SwissProt:P00519
ORPHA:117700	SwissProt:P11310
ORPHA:117705	SwissProt:P16219
ORPHA:117709	SwissProt:P45954
ORPHA:117713	SwissProt:P49748
ORPHA:117718	SwissProt:P16112
ORPHA:117724	SwissProt:P24752
ORPHA:117728	SwissProt:P12821
ORPHA:117738	SwissProt:Q15067
ORPHA:117743	SwissProt:O60488
ORPHA:117750	SwissProt:P68133
ORPHA:117753	SwissProt:P68032
ORPHA:117757	SwissProt:O43707
ORPHA:117759	SwissProt:Q04771
ORPHA:117764	SwissProt:P37023
ORPHA:117771	SwissProt:P00813
ORPHA:117773	SwissProt:Q9H324
ORPHA:117776	SwissProt:Q76LX8
ORPHA:117780	SwissProt:O95450
ORPHA:117785	SwissProt:O43175
ORPHA:117790	SwissProt:P46020
ORPHA:117793	SwissProt:P46019
ORPHA:117797	SwissProt:Q93100
ORPHA:117799	SwissProt:O14813
ORPHA:117805	SwissProt:Q99453
ORPHA:117810	SwissProt:O14832
ORPHA:117818	SwissProt:Q9H3S5
ORPHA:117820	SwissProt:P42336
ORPHA:117822	SwissProt:Q9BXM7
ORPHA:117825	SwissProt:Q9Y2I7
ORPHA:117832	SwissProt:Q99697
ORPHA:117844	SwissProt:O75364
ORPHA:117846	SwissProt:P98161
ORPHA:117849	SwissProt:Q13563
ORPHA:117853	SwissProt:P08F94
ORPHA:117861	SwissProt:P30613
ORPHA:117868	SwissProt:Q13835
ORPHA:117871	SwissProt:Q99959
ORPHA:117873	SwissProt:O60733
ORPHA:117877	SwissProt:Q15149
ORPHA:117882	SwissProt:Q58EX7
ORPHA:117886	SwissProt:P00747
ORPHA:117888	SwissProt:Q02809
ORPHA:117892	SwissProt:O00469
ORPHA:117894	SwissProt:P60201
ORPHA:117898	SwissProt:P29590
ORPHA:117903	SwissProt:O15305
ORPHA:117908	SwissProt:Q01453
ORPHA:117913	SwissProt:P54277
ORPHA:117916	SwissProt:P54278
ORPHA:117925	SwissProt:P54098
ORPHA:117927	SwissProt:Q9UHN1
ORPHA:117931	SwissProt:Q9Y253
ORPHA:117935	SwissProt:Q8WZA1
ORPHA:117939	SwissProt:Q9Y6A1
ORPHA:117942	SwissProt:Q9UKY4
ORPHA:117944	SwissProt:P16435
ORPHA:117948	SwissProt:P28069
ORPHA:117952	SwissProt:P49335
ORPHA:117957	SwissProt:Q15319
ORPHA:117961	SwissProt:P78424
ORPHA:117964	SwissProt:P37231
ORPHA:117969	SwissProt:P50336
ORPHA:117973	SwissProt:Q00005
ORPHA:117978	SwissProt:P50897
ORPHA:117983	SwissProt:O60828
ORPHA:117989	SwissProt:Q92733
ORPHA:117992	SwissProt:Q00LT1
ORPHA:117995	SwissProt:P14222
ORPHA:118000	SwissProt:Q92954
ORPHA:118006	SwissProt:Q9UGJ0
ORPHA:118010	SwissProt:P10644
ORPHA:118014	SwissProt:P05129
ORPHA:118020	SwissProt:P14314
ORPHA:118023	SwissProt:P04156
ORPHA:118030	SwissProt:P04070
ORPHA:118032	SwissProt:O43272
ORPHA:118039	SwissProt:Q9HC23
ORPHA:118044	SwissProt:Q8NFJ6
ORPHA:118051	SwissProt:O75360
ORPHA:118053	SwissProt:P07225
ORPHA:118056	SwissProt:O43395
ORPHA:118061	SwissProt:Q8WWY3
ORPHA:118066	SwissProt:Q6P2Q9
ORPHA:118070	SwissProt:P23942
ORPHA:118076	SwissProt:P60891
ORPHA:118080	SwissProt:P07477
ORPHA:118083	SwissProt:P56730
ORPHA:118087	SwissProt:P24158
ORPHA:118092	SwissProt:Q9BXM0
ORPHA:118095	SwissProt:P07602
ORPHA:118099	SwissProt:P49768
ORPHA:118105	SwissProt:P49810
ORPHA:118111	SwissProt:P78330
ORPHA:118114	SwissProt:O43586
ORPHA:118121	SwissProt:Q13635
ORPHA:118126	SwissProt:Q9Y6C5
ORPHA:118128	SwissProt:P60484
ORPHA:118135	SwissProt:Q7RTS3
ORPHA:118138	SwissProt:P01270
ORPHA:118140	SwissProt:Q03431
ORPHA:118143	SwissProt:Q06124
ORPHA:118151	SwissProt:P08575
ORPHA:118157	SwissProt:Q03393
ORPHA:118160	SwissProt:Q9Y606
ORPHA:118162	SwissProt:Q15223
ORPHA:118174	SwissProt:P28328
ORPHA:118180	SwissProt:P06737
ORPHA:118182	SwissProt:P11217
ORPHA:118184	SwissProt:P09417
ORPHA:118188	SwissProt:P51159
ORPHA:118194	SwissProt:Q15042
ORPHA:118200	SwissProt:Q9H2M9
ORPHA:118205	SwissProt:P51149
ORPHA:118208	SwissProt:Q06609
ORPHA:118215	SwissProt:P15918
ORPHA:118218	SwissProt:P55895
ORPHA:118220	SwissProt:Q7Z5J4
ORPHA:118222	SwissProt:Q13702
ORPHA:118227	SwissProt:P10276
ORPHA:118231	SwissProt:P20936
ORPHA:118239	SwissProt:P06400
ORPHA:118246	SwissProt:Q7Z3Z2
ORPHA:118250	SwissProt:Q96NR8
ORPHA:118253	SwissProt:Q92781
ORPHA:118257	SwissProt:O94761
ORPHA:118260	SwissProt:Q9H902
ORPHA:118272	SwissProt:P78509
ORPHA:118274	SwissProt:P07949
ORPHA:118283	SwissProt:P35250
ORPHA:118286	SwissProt:P48382
ORPHA:118288	SwissProt:O14593
ORPHA:118293	SwissProt:O00287
ORPHA:118295	SwissProt:P47804
ORPHA:118299	SwissProt:O75916
ORPHA:118301	SwissProt:Q6ZS82
ORPHA:118307	SwissProt:Q02094
ORPHA:118311	SwissProt:P18577
ORPHA:118315	SwissProt:P08100
ORPHA:118319	SwissProt:Q86UR5
ORPHA:118326	SwissProt:P12271
ORPHA:118329	SwissProt:O75792
ORPHA:118335	SwissProt:Q5TBB1
ORPHA:118340	SwissProt:Q8TDP1
ORPHA:118344	SwissProt:Q05823
ORPHA:118347	SwissProt:Q8WU17
ORPHA:118352	SwissProt:Q96MS0
ORPHA:118358	SwissProt:Q03395
ORPHA:118362	SwissProt:Q01974
ORPHA:118367	SwissProt:P56715
ORPHA:118370	SwissProt:O75695
ORPHA:118373	SwissProt:Q8TA86
ORPHA:118376	SwissProt:Q16518
ORPHA:118381	SwissProt:Q92834
ORPHA:118388	SwissProt:Q96KN7
ORPHA:118393	SwissProt:P27635
ORPHA:118400	SwissProt:P39019
ORPHA:118403	SwissProt:P62847
ORPHA:118405	SwissProt:P51812
ORPHA:118411	SwissProt:O15537
ORPHA:118415	SwissProt:Q2MKA7
ORPHA:118419	SwissProt:Q2I0M5
ORPHA:118423	SwissProt:Q01196
ORPHA:118429	SwissProt:Q13950
ORPHA:118437	SwissProt:P21817
ORPHA:118443	SwissProt:Q92736
ORPHA:118445	SwissProt:Q9NZJ4
ORPHA:118449	SwissProt:P10523
ORPHA:118451	SwissProt:Q9NSC2
ORPHA:118456	SwissProt:Q9UJQ4
ORPHA:118460	SwissProt:Q5K651
ORPHA:118465	SwissProt:Q9Y6B6
ORPHA:118468	SwissProt:Q9UL12
ORPHA:118476	SwissProt:Q9Y3A5
ORPHA:118482	SwissProt:Q86WG5
ORPHA:118487	SwissProt:O75845
ORPHA:118489	SwissProt:P35498
ORPHA:118498	SwissProt:Q07699
ORPHA:118500	SwissProt:Q99250
ORPHA:118507	SwissProt:P35499
ORPHA:118513	SwissProt:Q14524
ORPHA:118525	SwissProt:Q15858
ORPHA:118532	SwissProt:P37088
ORPHA:118536	SwissProt:P51168
ORPHA:118539	SwissProt:P51170
ORPHA:118543	SwissProt:O75880
ORPHA:118546	SwissProt:O43819
ORPHA:118549	SwissProt:P31040
ORPHA:118554	SwissProt:P21912
ORPHA:118558	SwissProt:Q99643
ORPHA:118561	SwissProt:O14521
ORPHA:118565	SwissProt:Q15436
ORPHA:118567	SwissProt:Q9UGP8
ORPHA:118590	SwissProt:O15041
ORPHA:118596	SwissProt:Q9NZV5
ORPHA:118602	SwissProt:P01009
ORPHA:118609	SwissProt:P01008
ORPHA:118613	SwissProt:P05121
ORPHA:118618	SwissProt:P05155
ORPHA:118623	SwissProt:Q99574
ORPHA:118627	SwissProt:Q7Z333
ORPHA:118633	SwissProt:Q8IWL2
ORPHA:118639	SwissProt:P07988
ORPHA:118643	SwissProt:P11686
ORPHA:118647	SwissProt:Q16586
ORPHA:118653	SwissProt:Q16585
ORPHA:118658	SwissProt:Q92629
ORPHA:118663	SwissProt:O43556
ORPHA:118666	SwissProt:Q13326
ORPHA:118674	SwissProt:P51688
ORPHA:118679	SwissProt:O60880
ORPHA:118689	SwissProt:P78314
ORPHA:118693	SwissProt:Q8TF17
ORPHA:118697	SwissProt:Q9BYB0
ORPHA:118703	SwissProt:Q15465
ORPHA:118707	SwissProt:O15266
ORPHA:118713	SwissProt:Q9ULL8
ORPHA:118716	SwissProt:P14410
ORPHA:118718	SwissProt:Q9H173
ORPHA:118723	SwissProt:Q15475
ORPHA:118725	SwissProt:O95343
ORPHA:118728	SwissProt:O95475
ORPHA:118732	SwissProt:P49281
ORPHA:118737	SwissProt:Q13621
ORPHA:118740	SwissProt:P55017
ORPHA:118742	SwissProt:Q9UHW9
ORPHA:118746	SwissProt:P36021
ORPHA:118753	SwissProt:Q9NRA2
ORPHA:118762	SwissProt:O60779
ORPHA:118766	SwissProt:Q9BZV2
ORPHA:118781	SwissProt:O76082
ORPHA:118786	SwissProt:Q9UJS0
ORPHA:118789	SwissProt:Q9Y619
ORPHA:118794	SwissProt:Q9HC21
ORPHA:118799	SwissProt:O43772
ORPHA:118803	SwissProt:Q9H936
ORPHA:118807	SwissProt:P12235
ORPHA:118813	SwissProt:P50443
ORPHA:118817	SwissProt:P40879
ORPHA:118821	SwissProt:O43511
ORPHA:118825	SwissProt:O95528
ORPHA:118828	SwissProt:P11168
ORPHA:118831	SwissProt:O95436
ORPHA:118834	SwissProt:Q8N130
ORPHA:118838	SwissProt:Q96A29
ORPHA:118840	SwissProt:O14983
ORPHA:118844	SwissProt:P16615
ORPHA:118849	SwissProt:P98194
ORPHA:118855	SwissProt:O75787
ORPHA:118861	SwissProt:Q9HBG4
ORPHA:118872	SwissProt:P15313
ORPHA:118879	SwissProt:Q04656
ORPHA:118882	SwissProt:P35670
ORPHA:118885	SwissProt:O43520
ORPHA:118892	SwissProt:Q8N5M1
ORPHA:118896	SwissProt:Q13535
ORPHA:118908	SwissProt:P46100
ORPHA:118913	SwissProt:P54253
ORPHA:118918	SwissProt:Q9UBB4
ORPHA:118923	SwissProt:Q99700
ORPHA:118928	SwissProt:P54252
ORPHA:118934	SwissProt:O15265
ORPHA:118939	SwissProt:Q156A1
ORPHA:118941	SwissProt:Q13825
ORPHA:118943	SwissProt:P01185
ORPHA:118947	SwissProt:P30518
ORPHA:118954	SwissProt:Q9Y2T1
ORPHA:118958	SwissProt:Q6Y288
ORPHA:118962	SwissProt:P15291
ORPHA:118966	SwissProt:Q9UBV7
ORPHA:118970	SwissProt:Q9UIG0
ORPHA:118975	SwissProt:Q8NFJ9
ORPHA:118978	SwissProt:Q8TAM1
ORPHA:118982	SwissProt:Q9BXC9
ORPHA:118985	SwissProt:Q96RK4
ORPHA:118987	SwissProt:Q8N3I7
ORPHA:118990	SwissProt:Q8IWZ6
ORPHA:118994	SwissProt:Q3SYG4
ORPHA:118998	SwissProt:P06276
ORPHA:119002	SwissProt:P12694
ORPHA:119005	SwissProt:P21953
ORPHA:119007	SwissProt:P10415
ORPHA:119012	SwissProt:Q6W2J9
ORPHA:119016	SwissProt:P11274
ORPHA:119021	SwissProt:Q9Y276
ORPHA:119027	SwissProt:P23560
ORPHA:119029	SwissProt:O76090
ORPHA:119034	SwissProt:Q13515
ORPHA:119045	SwissProt:Q6QNY0
ORPHA:119048	SwissProt:P36894
ORPHA:119053	SwissProt:O00238
ORPHA:119057	SwissProt:Q13873
ORPHA:119064	SwissProt:P07738
ORPHA:119066	SwissProt:P15056
ORPHA:119068	SwissProt:P38398
ORPHA:119072	SwissProt:P51587
ORPHA:119080	SwissProt:Q9BX63
ORPHA:119085	SwissProt:Q96G97
ORPHA:119089	SwissProt:Q8WZ55
ORPHA:119092	SwissProt:P43251
ORPHA:119094	SwissProt:Q06187
ORPHA:119101	SwissProt:O60566
ORPHA:119106	SwissProt:P06681
ORPHA:119113	SwissProt:Q8TAP9
ORPHA:119117	SwissProt:P00918
ORPHA:119122	SwissProt:P22748
ORPHA:119127	SwissProt:P57796
ORPHA:119129	SwissProt:O00555
ORPHA:119140	SwissProt:Q13936
ORPHA:119148	SwissProt:O60840
ORPHA:119157	SwissProt:Q13698
ORPHA:119164	SwissProt:Q08289
ORPHA:119168	SwissProt:O00305
ORPHA:119172	SwissProt:P20807
ORPHA:119179	SwissProt:Q92851
ORPHA:119182	SwissProt:O14958
ORPHA:119185	SwissProt:P41180
ORPHA:119192	SwissProt:P04040
ORPHA:119194	SwissProt:P56539
ORPHA:119199	SwissProt:P35520
ORPHA:119202	SwissProt:Q6P1N0
ORPHA:119206	SwissProt:Q16204
ORPHA:119213	SwissProt:Q9BSQ5
ORPHA:119217	SwissProt:P24385
ORPHA:119222	SwissProt:P48643
ORPHA:119235	SwissProt:P15391
ORPHA:119244	SwissProt:P25942
ORPHA:119249	SwissProt:P29965
ORPHA:119259	SwissProt:P15529
ORPHA:119266	SwissProt:Q8IWY9
ORPHA:119271	SwissProt:Q6P1J9
ORPHA:119276	SwissProt:P12830
ORPHA:119281	SwissProt:Q9H251
ORPHA:119285	SwissProt:P22223
ORPHA:119289	SwissProt:P11802
ORPHA:119292	SwissProt:Q96SN8
ORPHA:119297	SwissProt:O76039
ORPHA:119300	SwissProt:P49918
ORPHA:119306	SwissProt:P42771
ORPHA:119324	SwissProt:Q15517
ORPHA:119333	SwissProt:P19835
ORPHA:119336	SwissProt:Q9HC77
ORPHA:119343	SwissProt:O15078
ORPHA:119354	SwissProt:Q49MI3
ORPHA:119357	SwissProt:P11597
ORPHA:119359	SwissProt:P0CG37
ORPHA:119363	SwissProt:P08603
ORPHA:119371	SwissProt:P05156
ORPHA:119377	SwissProt:Q9Y281
ORPHA:119379	SwissProt:P27918
ORPHA:119382	SwissProt:P13569
ORPHA:119387	SwissProt:P28329
ORPHA:119389	SwissProt:Q9P2D1
ORPHA:119394	SwissProt:O96017
ORPHA:119402	SwissProt:P24386
ORPHA:119407	SwissProt:Q9UQN3
ORPHA:119411	SwissProt:P02708
ORPHA:119414	SwissProt:P43681
ORPHA:119419	SwissProt:P11230
ORPHA:119422	SwissProt:Q07001
ORPHA:119425	SwissProt:Q04844
ORPHA:119428	SwissProt:P07510
ORPHA:119431	SwissProt:Q7LGC8
ORPHA:119435	SwissProt:Q9GZX3
ORPHA:119442	SwissProt:P33076
ORPHA:119447	SwissProt:P35523
ORPHA:119453	SwissProt:P51795
ORPHA:119462	SwissProt:P51798
ORPHA:119467	SwissProt:P51801
ORPHA:119470	SwissProt:O95832
ORPHA:119474	SwissProt:O43826
ORPHA:119482	SwissProt:Q6P5W5
ORPHA:119486	SwissProt:Q9NP59
ORPHA:119502	SwissProt:P55265
ORPHA:119507	SwissProt:P30566
ORPHA:119509	SwissProt:P51816
