chembl-chembl.target	update.pl > pair.tsv 2> log
chembl-uniprot	update.pl > pair.tsv 2> log
drugbank-chebi	wget https://go.drugbank.com/releases/5-1-8/downloads/all-full-database; unzip all-full-database; python3 make_pairs.py
drugbank-chembl	wget https://go.drugbank.com/releases/5-1-8/downloads/all-full-database; unzip all-full-database; python3 make_pairs.py
drugbank-kegg.compound	wget https://go.drugbank.com/releases/5-1-8/downloads/all-full-database; unzip all-full-database; python3 make_pairs.py
drugbank-kegg.drug	wget https://go.drugbank.com/releases/5-1-8/downloads/all-full-database; unzip all-full-database; python3 make_pairs.py
ensembl-ensembl.transcript	update.rb --limit all --endpoint https://integbio.jp/rdf/ebi/sparql > link.tsv
ensembl-hgnc	update.sh > pair.tsv
ensembl-omim	LIMIT=10000 update.sh > link.tsv
ensembl-refseq	update.rb --limit all --endpoint https://integbio.jp/rdf/ebi/sparql > link.tsv
ensembl.protein-ensembl.transcript	update.rb --limit all > link.tsv
ensembl.transcript-hgnc	update.rb --limit all --endpoint https://integbio.jp/rdf/ebi/sparql > link.tsv
hint-uniprot	readme.txt
homologene-ncbigene	curl -sSf ftp://ftp.ncbi.nlm.nih.gov/pub/HomoloGene/current/homologene.data | cut -f 1,3 > link.tsv
interpro-go	curl -sS ftp://ftp.ebi.ac.uk/pub/databases/interpro/interpro2go | awk '!/^!/{print gensub("InterPro:","","g",$1) "\t" gensub(/[^;]*; GO:/,"GO_","g")}' > pair.tsv
kegg.orthology-go	curl http://rest.genome.jp/link/go/ko | cut -f 1,2 | perl -pe 's/ko://; s/go:/GO_/' > link.tsv
kegg_compound-chebi	python3 make_pairs.py
mbgd.organism-ncbi.taxonomy	https://is.gd/Lpmycy
pdb-go	update.pl > pair.tsv 2> log
reactome-go	update.sh > pair.tsv
reactome-reactome.reaction	update.sh > pair.tsv
reactome.reaction-chebi	update.sh > pair.tsv
reactome.reaction-uniprot	update.sh > pair.tsv
rhea-ec	update.sh > link.tsv
rhea-reactome	update.rb --limit all --endpoint https://integbio.jp/rdf/misc/sparql > link.tsv
togovar-clinvar	wget -c https://togovar.biosciencedbc.jp/public/togoid/tgvid2clinvar.tsv && mv tgvid2clinvar.tsv pair.tsv
togovar-dbsnp	wget -c https://togovar.biosciencedbc.jp/public/togoid/tgvid2dbSNP.tsv && mv tgvid2dbSNP.tsv pair.tsv
togovar-ensembl.transcript	wget -c https://togovar.biosciencedbc.jp/public/togoid/tgvid2enst.tsv && mv tgvid2enst.tsv pair.tsv
togovar-ensembl	wget -c https://togovar.biosciencedbc.jp/public/togoid/tgvid2ensg.tsv && mv tgvid2ensg.tsv pair.tsv
togovar-hgnc	wget -c https://togovar.biosciencedbc.jp/public/tgvid2clinvar.tsv && mv tgvid2clinvar.tsv pair.tsv
togovar-medgen	wget -c https://togovar.biosciencedbc.jp/public/togoid/tgvid2medgen.tsv && mv tgvid2medgen.tsv pair.tsv
togovar-ncbigene	wget -c https://togovar.biosciencedbc.jp/public/togoid/tgvid2ncbig.tsv && mv tgvid2ncbig.tsv pair.tsv
togovar-pubmed	wget -c https://togovar.biosciencedbc.jp/public/togoid/tgvid2pubmed.tsv && mv tgvid2pubmed.tsv pair.tsv
togovar-refseq.mRNA	wget -c https://togovar.biosciencedbc.jp/public/togoid/tgvid2refseqg.tsv && mv tgvid2refseqg.tsv pair.tsv
uniprot-chembl.target	update.pl > pair.tsv 2> log
uniprot-dbsnp	update.pl > pair.tsv 2> log
uniprot-drugbank	update.pl > pair.tsv 2> log
uniprot-ec	update.pl > pair.tsv 2> log
uniprot-ensembl.protein	update.pl > pair.tsv 2> log
uniprot-ensembl.transcript	update.pl > pair.tsv 2> log
uniprot-ensembl	update.pl > pair.tsv 2> log
uniprot-go	update.pl > pair.tsv 2> log
uniprot-hgnc	update.pl > pair.tsv 2> log
uniprot-intact	update.pl > pair.tsv 2> log
uniprot-interpro	update.pl > pair.tsv 2> log
uniprot-kegg.genes	update.pl > pair.tsv 2> log
uniprot-ncbigene	update.pl > pair.tsv 2> log
uniprot-ncbiprotein	update.pl > pair.tsv 2> log
uniprot-oma	update.pl > pair.tsv 2> log
uniprot-omim	update.pl > pair.tsv 2> log
uniprot-orphanet	update.pl > pair.tsv 2> log
uniprot-pdb	update.pl > pair.tsv 2> log
uniprot-pfam	update.pl > pair.tsv 2> log
uniprot-reactome	update.pl > pair.tsv 2> log
uniprot-refseq	update.pl > pair.tsv 2> log
wikipathways-doid	update.sh > pair.tsv
