affy_probeset-ncbigene	[GPL570 on NCBI GEO](https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL570) (Annotation date: Aug 09 2016)
assembly_insdc-bioproject	
assembly_insdc-biosample	
assembly_insdc-insdc_master	
bioproject-biosample	BioSample: [biosample_set.xml.gz](https://ftp.ncbi.nih.gov/biosample/) (2026-07-16), BioProject: [bioproject.xml](https://ftp.ncbi.nih.gov/bioproject/) (2026-07-17)
bioproject-geo_series	BioSample: [biosample_set.xml.gz](https://ftp.ncbi.nih.gov/biosample/) (2026-07-16), BioProject: [bioproject.xml](https://ftp.ncbi.nih.gov/bioproject/) (2026-07-17)
bioproject-pubmed	BioSample: [biosample_set.xml.gz](https://ftp.ncbi.nih.gov/biosample/) (2026-07-16), BioProject: [bioproject.xml](https://ftp.ncbi.nih.gov/bioproject/) (2026-07-17)
bioproject_umbrella-bioproject	BioProject: [bioproject.xml](https://ftp.ncbi.nih.gov/bioproject/) (2026-07-17)
biosample-bioproject	BioSample: [biosample_set.xml.gz](https://ftp.ncbi.nih.gov/biosample/) (2026-07-16)
biosample-geo_sample	BioSample: [biosample_set.xml.gz](https://ftp.ncbi.nih.gov/biosample/) (2026-07-16)
biosample-taxonomy	BioSample: [biosample_set.xml.gz](https://ftp.ncbi.nih.gov/biosample/) (2026-07-16)
cellosaurus-clo	
cellosaurus-ncit_disease	
cellosaurus-orphanet_phenotype	
cellosaurus-taxonomy	
chebi-glytoucan	
chebi-inchi_key	
chembl_compound-chebi	
chembl_compound-chembl_target-TIO_000012	
chembl_compound-chembl_target-TIO_000120	
chembl_compound-chembl_target	
chembl_compound-drugbank	
chembl_compound-hmdb	
chembl_compound-inchi_key	
chembl_compound-mesh	
chembl_compound-pdb_ccd	
chembl_compound-pubchem_compound	
chembl_compound-pubchem_substance	
chembl_compound-pubmed	
chembl_target-ensembl_gene	
chembl_target-go	
chembl_target-interpro	
chembl_target-pdb	
chembl_target-pfam	
chembl_target-reactome_pathway	
chembl_target-uniprot-TIO_000002	
chembl_target-uniprot-TIO_000130	
chembl_target-uniprot-TIO_000132	
chembl_target-uniprot	
clinvar-dbsnp	ClinVar: [variant_summary.txt.gz](https://ftp.ncbi.nih.gov/pub/clinvar/tab_delimited/) (2026-07-16)
clinvar-hgnc	ClinVar: [variant_summary.txt.gz](https://ftp.ncbi.nih.gov/pub/clinvar/tab_delimited/) (2026-07-16)
clinvar-medgen	ClinVar: [variant_summary.txt.gz](https://ftp.ncbi.nih.gov/pub/clinvar/tab_delimited/) (2026-07-16)
clinvar-mondo	ClinVar: [variant_summary.txt.gz](https://ftp.ncbi.nih.gov/pub/clinvar/tab_delimited/) (2026-07-16)
clinvar-ncbigene	ClinVar: [variant_summary.txt.gz](https://ftp.ncbi.nih.gov/pub/clinvar/tab_delimited/) (2026-07-16)
clinvar-omim_phenotype	ClinVar: [variant_summary.txt.gz](https://ftp.ncbi.nih.gov/pub/clinvar/tab_delimited/) (2026-07-16)
clinvar-orphanet_phenotype	ClinVar: [variant_summary.txt.gz](https://ftp.ncbi.nih.gov/pub/clinvar/tab_delimited/) (2026-07-16)
clinvar-uniprot	ClinVar: [variant_summary.txt.gz](https://ftp.ncbi.nih.gov/pub/clinvar/tab_delimited/) (2026-07-16)
cog-insdc	[COG2024](https://www.ncbi.nlm.nih.gov/research/cog): [cog-2024.cog.csv](https://ftp.ncbi.nlm.nih.gov/pub/COG/COG2024/data/)
cog-refseq_protein	[COG2024](https://www.ncbi.nlm.nih.gov/research/cog): [cog-2024.cog.csv](https://ftp.ncbi.nlm.nih.gov/pub/COG/COG2024/data/)
doid-mesh	
doid-ncit_disease	
doid-omim_phenotype	
ensembl_gene-affy_probeset	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_gene-ensembl_protein	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_gene-ensembl_transcript	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_gene-hgnc	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_gene-ncbigene	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_gene-taxonomy	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_gene-uniprot	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_protein-ensembl_transcript	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_protein-uniparc	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_transcript-affy_probeset	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_transcript-go	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_transcript-hgnc	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
ensembl_transcript-refseq_rna	[Ensembl 115](https://ensembl.org/), RDFized by DBCLS. Based on [dumped table files](https://ftp.ensembl.org/pub/current_mysql/), [the RDF version](https://rdfportal.org/dataset/ensembl/) has been created by DBCLS.
flybase_gene-flybase_transcript	[FlyBase FB2026_02](https://flybase.org/): [fbgn_fbtr_fbpp_expanded_fb_2026_01.tsv.gz](https://s3ftp.flybase.org/releases/current/precomputed_files/genes/)
flybase_transcript-flybase_protein	[FlyBase FB2026_02](https://flybase.org/): [fbgn_fbtr_fbpp_expanded_fb_2026_01.tsv.gz](https://s3ftp.flybase.org/releases/current/precomputed_files/genes/)
gea-bioproject	
gea-biosample	
glycomotif-glytoucan	
glytoucan-doid	
glytoucan-ncbigene	
glytoucan-uniprot-TIO_000060	
glytoucan-uniprot-TIO_000126	
glytoucan-uniprot-TIO_000128	
glytoucan-uniprot	
hgnc-ccds	[HGNC](https://www.genenames.org/): [hgnc_complete_set.txt](https://www.genenames.org/download/statistics-and-files/) (2026-07-14)
hgnc-ec	[HGNC](https://www.genenames.org/): [hgnc_complete_set.txt](https://www.genenames.org/download/statistics-and-files/) (2026-07-14)
hgnc-ensembl_gene	[HGNC](https://www.genenames.org/): [hgnc_complete_set.txt](https://www.genenames.org/download/statistics-and-files/) (2026-07-14)
hgnc-hgnc_symbol	[HGNC](https://www.genenames.org/): [hgnc_complete_set.txt](https://www.genenames.org/download/statistics-and-files/) (2026-07-14)
hgnc-insdc	[HGNC](https://www.genenames.org/): [hgnc_complete_set.txt](https://www.genenames.org/download/statistics-and-files/) (2026-07-14)
hgnc-lrg	[HGNC](https://www.genenames.org/): [hgnc_complete_set.txt](https://www.genenames.org/download/statistics-and-files/) (2026-07-14)
hgnc-mgi_gene	[HGNC](https://www.genenames.org/): [hgnc_complete_set.txt](https://www.genenames.org/download/statistics-and-files/) (2026-07-14)
