A0A1D8P9Q0	lul:LPB138_11760
A0A1D8PA95	lul:LPB138_12865
A0A1D8PBY0	lul:LPB138_11460
A0A1D8P989	lul:LPB138_10850
A0A1D8P547	lul:LPB138_02630
A0A1D8P8T8	lul:LPB138_10060
A0A1D8P6D4	lul:LPB138_05250
A0A1D8PBN5	lul:LPB138_03805
A0A1D8PBP5	lul:LPB138_04990
A0A1D8P5A3	lul:LPB138_03255
