GCA_000001545	ABGA00000000
GCA_000001765	AADE00000000
GCA_000001895	AABR00000000
GCA_000001905	AAGU00000000
GCA_000001985	ABAR00000000
GCA_000002115	AADD00000000
GCA_000002125	ABBA00000000
GCA_000002165	AAHY00000000
GCA_000002195	AADG00000000
GCA_000002235	AAGJ00000000
