ENSG00000142611	ENST00000270722.10
ENSG00000157911	ENST00000447513.7
ENSG00000142655	ENST00000356607.9
ENSG00000149527	ENST00000378486.8
ENSG00000171621	ENST00000328089.11
ENSG00000142583	ENST00000377424.9
ENSG00000173614	ENST00000377205.6
ENSG00000204624	ENST00000294484.7
ENSG00000142606	ENST00000378412.8
ENSG00000171729	ENST00000376008.3
