A0A3Q7QY59	ENSVVUT00000025420
A0A3Q7R6F2	ENSVVUT00000026601
A0A3Q7R9A5	ENSVVUT00000028595
A0A3Q7RAR1	ENSVVUT00000016674
A0A3Q7RI39	ENSVVUT00000014693
A0A3Q7RIV4	ENSVVUT00000028471
A0A3Q7RUE6	ENSVVUT00000007991
A0A3Q7RW44	ENSVVUT00000044927
A0A3Q7RW44	ENSVVUT00000044921
A0A3Q7RWJ2	ENSVVUT00000007523
