P48347-1	NP_564167
P48347-2	NP_849698
Q9S9Z8-1	NP_001077649
Q9S9Z8-3	NP_564451
P42643-1	NP_567344
P42644-2	NP_001318697
P42644-2	NP_001332624
P42644-1	NP_568557
P46077-1	NP_564453
P48349-2	NP_001190276
