A0A3Q7RWJ2	ENSVVUG00000004388
A0A3Q7RUE6	ENSVVUG00000004650
A0A3Q7RI39	ENSVVUG00000008188
A0A3Q7RAR1	ENSVVUG00000009361
A0A3Q7QY59	ENSVVUG00000014179
A0A3Q7R6F2	ENSVVUG00000014802
A0A3Q7RIV4	ENSVVUG00000015749
A0A3Q7R9A5	ENSVVUG00000015840
A0A3Q7RW44	ENSVVUG00000024606
A0A3Q7RXH4	ENSVVUG00000029350
