ENSAPOG00000000004	ENSAPOP00000020925
ENSAPOG00000000076	ENSAPOP00000002361
ENSAPOG00000000103	ENSAPOP00000022892
ENSAPOG00000000261	ENSAPOP00000025888
ENSAPEG00000000003	ENSAPEP00000000006
ENSAPEG00000000004	ENSAPEP00000000007
ENSAPEG00000000271	ENSAPEP00000000371
ENSAPEG00000000288	ENSAPEP00000000496
ENSAPLG00000002466	ENSAPLP00000001921
ENSAPLG00000002466	ENSAPLP00000024696
ENSAPLG00000002466	ENSAPLP00000028870
ENSAPLG00000002466	ENSAPLP00000031712
ENSANIG00000000019	ENSANIP00000000032
ENSANIG00000000019	ENSANIP00000000033
ENSANIG00000000019	ENSANIP00000000034
ENSANIG00000000019	ENSANIP00000000035
