ENSAPOT00000015153	XM_022192334
ENSAPOT00000015414	XM_022217595
ENSAPOT00000016539	XM_022199356
ENSAPOT00000013343	XM_022210972
ENSAPOT00000013408	XM_022210963
ENSAPOT00000013408	XM_022210964
ENSAPOT00000013408	XM_022210966
ENSAPOT00000013408	XM_022210969
ENSAPOT00000013408	XM_022210970
ENSAPOT00000013438	XM_022210965
ENSAPOT00000013438	XM_022210967
ENSAPOT00000013438	XM_022210968
ENSAPOT00000015869	XM_022211049
ENSAPOT00000015869	XM_022211050
ENSAPOT00000017270	XM_022205469
ENSAPOT00000025415	XM_022219934
ENSAPOT00000016463	XM_022195878
ENSAPOT00000016946	XM_022204573
ENSAPOT00000017085	XM_022212839
ENSAPOT00000017532	XM_022199445
ENSAPOT00000022012	XM_022220015
ENSAPOT00000025366	XM_022213846
ENSAPOT00000014234	XM_022207880
ENSAPOT00000014234	XM_022207881
ENSAPOT00000014234	XM_022207882
ENSAPOT00000015305	XM_022218897
ENSAPOT00000015305	XM_022218898
ENSAPOT00000015500	XM_022193259
ENSAPOT00000015775	XM_022209541
ENSAPOT00000015802	XM_022209542
ENSAPOT00000026143	XM_022203662
ENSAPOT00000026150	XM_022203672
ENSAPOT00000014269	XM_022218879
ENSAPOT00000014269	XM_022218880
ENSAPOT00000015470	XM_022207963
ENSAPOT00000015470	XM_022207964
ENSAPOT00000015470	XM_022207965
ENSAPOT00000015470	XM_022207966
ENSAPOT00000015470	XM_022207967
ENSAPOT00000016087	XM_022201019
ENSAPOT00000016087	XM_022201028
ENSAPOT00000004538	XM_022220900
ENSAPOT00000014902	XM_022201943
ENSAPOT00000014978	XM_022221937
ENSAPOT00000015965	XM_022203739
ENSAPOT00000016902	XM_022218968
ENSAPOT00000017003	XM_022218966
ENSAPOT00000017039	XM_022193345
ENSAPOT00000021059	XM_022199722
ENSAPOT00000021059	XM_022199723
ENSAPOT00000000109	XM_022199829
ENSAPOT00000015446	XM_022212762
ENSAPOT00000016186	XM_022212794
ENSAPOT00000016186	XM_022212796
ENSAPOT00000016202	XM_022212797
ENSAPOT00000016774	XM_022221190
ENSAPOT00000017029	XM_022211131
ENSAPOT00000014128	XM_022198395
ENSAPOT00000014194	XM_022198396
ENSAPOT00000016404	XM_022192881
ENSAPOT00000016404	XM_022192890
ENSAPOT00000016516	XM_022221990
ENSAPOT00000016516	XM_022221991
ENSAPOT00000016516	XM_022221992
ENSAPOT00000016516	XM_022221993
ENSAPOT00000016516	XM_022221994
ENSAPOT00000016516	XM_022221995
ENSAPOT00000016516	XM_022221996
ENSAPOT00000016556	XM_022218949
ENSAPOT00000016793	XM_022205422
ENSAPOT00000017001	XM_022211137
ENSAPOT00000017063	XM_022189881
ENSAPOT00000005799	XM_022194082
ENSAPOT00000014187	XM_022192303
ENSAPOT00000014187	XM_022192304
ENSAPOT00000016234	XM_022221171
ENSAPOT00000016267	XM_022221172
ENSAPOT00000016282	XM_022221173
ENSAPOT00000017092	XM_022221197
ENSAPOT00000010421	XM_022215814
ENSAPOT00000015892	XM_022217605
ENSAPOT00000016790	XM_022200292
ENSAPOT00000016790	XM_022200294
ENSAPOT00000016804	XM_022200295
ENSAPOT00000016817	XM_022200296
ENSAPOT00000016843	XM_022200293
ENSAPOT00000017288	XM_022195950
ENSAPOT00000017288	XM_022195951
ENSAPOT00000021219	XM_022217766
ENSAPOT00000024682	XM_022213008
ENSAPOT00000034573	XM_022206397
ENSAPOT00000009122	XM_022196628
ENSAPOT00000014173	XM_022206250
ENSAPOT00000014173	XM_022206251
