IPR000001	PF00051
IPR000007	PF01167
IPR000008	PF00168
IPR000010	PF00031
IPR000010	PF16845
IPR000012	PF00522
IPR000013	PF02031
IPR000014	PF13188
IPR000014	PF13426
IPR000015	PF00577
