AP_000046	Q96678
AP_000047	Q96679
AP_000048	P68968
AP_000048	P68969
AP_000052	P68972
AP_000054	P68946
AP_000054	P68947
AP_000055	P68965
AP_000056	Q96685
AP_000057	P68974
