NM_001005484.2	ENST00000641515.2
NM_001005221.2	ENST00000426406.4
NM_001005277.1	ENST00000332831.5
NM_001385641.1	ENST00000616016.5
NM_015658.4	ENST00000327044.7
NM_198317.3	ENST00000338591.8
NM_032129.3	ENST00000379410.8
NM_001394713.1	ENST00000433179.4
NM_021170.4	ENST00000304952.11
NM_005101.4	ENST00000649529.1
