ENSAPOP00000027737	ENSAPOT00000000435
ENSAPOP00000007164	ENSAPOT00000005416
ENSAPOP00000005713	ENSAPOT00000007892
ENSAPOP00000000131	ENSAPOT00000017393
ENSAPEP00000000135	ENSAPET00000000137
ENSAPEP00000000136	ENSAPET00000000138
ENSAPEP00000000137	ENSAPET00000000139
ENSAPEP00000000138	ENSAPET00000000140
ENSAPLP00000006319	ENSAPLT00000006962
ENSAPLP00000010405	ENSAPLT00000011118
ENSAPLP00000012967	ENSAPLT00000013714
ENSAPLP00000027161	ENSAPLT00000018437
ENSANIP00000000032	ENSANIT00000000032
ENSANIP00000000033	ENSANIT00000000033
ENSANIP00000000034	ENSANIT00000000034
ENSANIP00000000035	ENSANIT00000000035
