HUMAN00001	ENST00000335137
HUMAN00002	ENST00000624431
HUMAN00003	ENST00000623083
HUMAN00005	ENST00000332831
HUMAN00005	ENST00000426406
HUMAN00005	ENST00000456475
HUMAN00006	ENST00000332831
HUMAN00006	ENST00000426406
HUMAN00006	ENST00000456475
HUMAN00008	ENST00000622503
HUMAN00009	ENST00000327044
HUMAN00010	ENST00000338591
HUMAN00012	ENST00000379407
HUMAN00012	ENST00000379410
HUMAN00012	ENST00000379409
HUMAN00013	ENST00000341290
HUMAN00013	ENST00000433179
HUMAN00014	ENST00000428771
HUMAN00015	ENST00000649529
HUMAN00015	ENST00000379389
HUMAN00016	ENST00000379370
HUMAN00017	ENST00000453464
HUMAN00018	ENST00000379319
HUMAN00018	ENST00000379325
HUMAN00018	ENST00000421241
HUMAN00018	ENST00000379339
HUMAN00021	ENST00000379288
HUMAN00021	ENST00000379289
HUMAN00021	ENST00000379290
HUMAN00024	ENST00000379265
HUMAN00024	ENST00000328596
HUMAN00024	ENST00000379268
HUMAN00025	ENST00000379236
HUMAN00026	ENST00000655486
HUMAN00026	ENST00000660930
HUMAN00026	ENST00000360001
HUMAN00029	ENST00000379198
HUMAN00030	ENST00000330388
HUMAN00032	ENST00000349431
HUMAN00032	ENST00000360466
HUMAN00032	ENST00000400930
HUMAN00033	ENST00000616713
HUMAN00034	ENST00000353662
HUMAN00034	ENST00000354700
HUMAN00036	ENST00000379031
HUMAN00037	ENST00000419704
HUMAN00037	ENST00000435064
HUMAN00037	ENST00000450926
HUMAN00037	ENST00000545578
HUMAN00037	ENST00000540437
HUMAN00044	ENST00000343938
HUMAN00045	ENST00000339381
HUMAN00046	ENST00000378891
HUMAN00046	ENST00000378888
HUMAN00047	ENST00000309212
HUMAN00047	ENST00000342753
HUMAN00047	ENST00000477278
HUMAN00047	ENST00000445648
HUMAN00048	ENST00000321751
HUMAN00048	ENST00000338338
HUMAN00048	ENST00000378853
HUMAN00048	ENST00000338370
HUMAN00050	ENST00000408918
HUMAN00050	ENST00000481223
HUMAN00050	ENST00000488340
HUMAN00050	ENST00000400809
HUMAN00052	ENST00000344843
HUMAN00052	ENST00000482352
HUMAN00055	ENST00000427211
HUMAN00055	ENST00000442470
HUMAN00055	ENST00000454272
HUMAN00055	ENST00000520296
HUMAN00055	ENST00000537107
HUMAN00056	ENST00000378821
HUMAN00057	ENST00000338660
HUMAN00057	ENST00000476993
HUMAN00059	ENST00000378785
HUMAN00060	ENST00000673477
HUMAN00060	ENST00000308647
HUMAN00061	ENST00000378756
HUMAN00061	ENST00000536055
HUMAN00061	ENST00000378755
HUMAN00063	ENST00000425828
HUMAN00063	ENST00000378733
HUMAN00064	ENST00000291386
HUMAN00064	ENST00000359060
HUMAN00066	ENST00000624594
HUMAN00067	ENST00000422725
HUMAN00068	ENST00000355826
HUMAN00068	ENST00000378712
HUMAN00068	ENST00000518681
HUMAN00068	ENST00000520777
HUMAN00068	ENST00000505820
HUMAN00070	ENST00000356026
HUMAN00075	ENST00000340677
HUMAN00075	ENST00000341832
HUMAN00075	ENST00000407249
HUMAN00077	ENST00000611123
HUMAN00077	ENST00000617444
HUMAN00078	ENST00000358779
HUMAN00078	ENST00000404249
HUMAN00078	ENST00000378633
HUMAN00079	ENST00000355439
HUMAN00079	ENST00000643905
HUMAN00079	ENST00000246421
HUMAN00081	ENST00000342348
HUMAN00083	ENST00000378609
HUMAN00083	ENST00000610897
HUMAN00084	ENST00000307786
HUMAN00086	ENST00000310991
HUMAN00086	ENST00000378602
HUMAN00089	ENST00000493964
HUMAN00090	ENST00000378585
HUMAN00091	ENST00000400921
HUMAN00091	ENST00000461106
HUMAN00091	ENST00000378567
HUMAN00094	ENST00000378543
HUMAN00094	ENST00000378546
HUMAN00094	ENST00000400918
HUMAN00094	ENST00000414253
HUMAN00096	ENST00000378536
HUMAN00097	ENST00000378529
HUMAN00097	ENST00000378531
HUMAN00099	ENST00000488353
HUMAN00099	ENST00000605895
HUMAN00101	ENST00000447513
HUMAN00101	ENST00000288774
HUMAN00104	ENST00000378486
HUMAN00104	ENST00000620687
HUMAN00104	ENST00000626246
HUMAN00104	ENST00000627854
HUMAN00104	ENST00000419816
HUMAN00104	ENST00000449969
HUMAN00106	ENST00000651094
HUMAN00106	ENST00000378466
HUMAN00109	ENST00000612705
HUMAN00109	ENST00000378453
HUMAN00110	ENST00000621877
HUMAN00110	ENST00000355716
HUMAN00111	ENST00000616280
HUMAN00111	ENST00000444521
HUMAN00112	ENST00000502556
HUMAN00112	ENST00000504800
HUMAN00112	ENST00000611357
HUMAN00112	ENST00000621908
HUMAN00112	ENST00000628503
HUMAN00112	ENST00000378412
HUMAN00113	ENST00000401095
HUMAN00114	ENST00000378404
HUMAN00115	ENST00000378391
HUMAN00115	ENST00000270722
