ENSACIG00000007084	A0A3Q0RFW1
ENSACIG00000013843	A0A3Q0S4L4
ENSACIG00000001229	A0A3Q0QQK2
ENSACIG00000003142	A0A3Q0R162
ENSACIG00000003800	A0A3Q0QZ23
ENSACIG00000004355	A0A3Q0R0N2
ENSACIG00000009887	A0A3Q0RK71
ENSACIG00000013106	A0A3Q0S248
ENSACIG00000018813	A0A3Q0SW56
ENSACIG00000019018	A0A3Q0SNR2
