ENSACOG00000000285	ENSACOT00000000395
ENSACOG00000001207	ENSACOT00000001721
ENSACOG00000003458	ENSACOT00000005276
ENSACOG00000003458	ENSACOT00000005292
ENSACOG00000003458	ENSACOT00000005305
ENSACOG00000003458	ENSACOT00000005317
ENSACOG00000010031	ENSACOT00000014907
ENSACOG00000010031	ENSACOT00000014915
ENSACOG00000010031	ENSACOT00000014931
ENSACOG00000010092	ENSACOT00000014987
