URS0000000055_9606	ENST00000585414
URS00000000C9_9606	ENST00000514011
URS00000000FD_9606	ENST00000448543
URS0000000344_9606	ENST00000633884
URS0000000351_9606	ENST00000452009
URS00000005D1_9606	ENST00000563639
URS000000074D_9986	ENSOCUT00000033131
URS0000000787_9606	ENST00000452952
URS0000000AA1_9606	ENST00000615750
URS0000000AA1_9606	ENST00000633983
