HUMAN00001	ENSG00000186092
HUMAN00002	ENSG00000279928
HUMAN00003	ENSG00000279457
HUMAN00005	ENSG00000278566
HUMAN00006	ENSG00000273547
HUMAN00008	ENSG00000187634
HUMAN00009	ENSG00000188976
HUMAN00010	ENSG00000187961
HUMAN00012	ENSG00000187583
HUMAN00013	ENSG00000187642
HUMAN00014	ENSG00000188290
HUMAN00015	ENSG00000187608
HUMAN00016	ENSG00000188157
HUMAN00017	ENSG00000237330
HUMAN00018	ENSG00000131591
HUMAN00021	ENSG00000162571
HUMAN00024	ENSG00000186891
HUMAN00025	ENSG00000186827
HUMAN00026	ENSG00000078808
HUMAN00029	ENSG00000176022
HUMAN00030	ENSG00000184163
HUMAN00032	ENSG00000160087
HUMAN00033	ENSG00000162572
HUMAN00034	ENSG00000131584
HUMAN00036	ENSG00000169972
HUMAN00037	ENSG00000127054
HUMAN00044	ENSG00000224051
HUMAN00045	ENSG00000169962
HUMAN00046	ENSG00000107404
HUMAN00047	ENSG00000162576
HUMAN00048	ENSG00000175756
HUMAN00050	ENSG00000221978
HUMAN00052	ENSG00000242485
HUMAN00055	ENSG00000235098
HUMAN00056	ENSG00000205116
HUMAN00057	ENSG00000179403
HUMAN00059	ENSG00000215915
HUMAN00060	ENSG00000160072
HUMAN00061	ENSG00000197785
HUMAN00063	ENSG00000205090
HUMAN00064	ENSG00000160075
HUMAN00066	ENSG00000279244
HUMAN00067	ENSG00000228594
HUMAN00068	ENSG00000197530
HUMAN00070	ENSG00000189409
HUMAN00075	ENSG00000248333
HUMAN00077	ENSG00000189339
HUMAN00078	ENSG00000008128
HUMAN00079	ENSG00000215790
HUMAN00081	ENSG00000008130
HUMAN00083	ENSG00000078369
HUMAN00084	ENSG00000169885
HUMAN00086	ENSG00000178821
HUMAN00089	ENSG00000142609
HUMAN00090	ENSG00000187730
HUMAN00091	ENSG00000067606
HUMAN00094	ENSG00000162585
HUMAN00096	ENSG00000157933
HUMAN00097	ENSG00000116151
HUMAN00099	ENSG00000157916
HUMAN00101	ENSG00000157911
HUMAN00104	ENSG00000149527
HUMAN00106	ENSG00000157881
HUMAN00109	ENSG00000197921
HUMAN00110	ENSG00000157873
HUMAN00111	ENSG00000157870
HUMAN00112	ENSG00000142606
HUMAN00113	ENSG00000215912
HUMAN00114	ENSG00000169717
HUMAN00115	ENSG00000142611
HUMAN00117	ENSG00000130762
HUMAN00119	ENSG00000162591
HUMAN00120	ENSG00000158109
HUMAN00121	ENSG00000116213
HUMAN00122	ENSG00000078900
HUMAN00123	ENSG00000162592
HUMAN00124	ENSG00000235169
HUMAN00125	ENSG00000130764
HUMAN00127	ENSG00000116198
HUMAN00129	ENSG00000169598
HUMAN00132	ENSG00000198912
HUMAN00133	ENSG00000196581
HUMAN00134	ENSG00000131697
HUMAN00136	ENSG00000069424
HUMAN00140	ENSG00000116254
HUMAN00145	ENSG00000116251
HUMAN00146	ENSG00000158286
HUMAN00147	ENSG00000116237
HUMAN00149	ENSG00000173673
HUMAN00150	ENSG00000158292
HUMAN00152	ENSG00000097021
HUMAN00154	ENSG00000069812
HUMAN00155	ENSG00000187017
HUMAN00158	ENSG00000215788
HUMAN00159	ENSG00000171680
HUMAN00160	ENSG00000162408
HUMAN00161	ENSG00000173662
HUMAN00162	ENSG00000204859
HUMAN00163	ENSG00000162413
HUMAN00164	ENSG00000116273
HUMAN00165	ENSG00000041988
HUMAN00170	ENSG00000007923
HUMAN00172	ENSG00000171735
HUMAN00177	ENSG00000049245
HUMAN00178	ENSG00000049246
HUMAN00180	ENSG00000049247
HUMAN00182	ENSG00000049249
HUMAN00185	ENSG00000116288
HUMAN00187	ENSG00000116285
HUMAN00190	ENSG00000162426
HUMAN00191	ENSG00000142599
HUMAN00193	ENSG00000074800
HUMAN00195	ENSG00000131686
HUMAN00197	ENSG00000197241
HUMAN00198	ENSG00000142583
HUMAN00200	ENSG00000180758
HUMAN00201	ENSG00000049239
HUMAN00202	ENSG00000171621
HUMAN00203	ENSG00000171612
HUMAN00204	ENSG00000188807
HUMAN00206	ENSG00000171608
HUMAN00207	ENSG00000171603
HUMAN00208	ENSG00000280113
HUMAN00209	ENSG00000178585
HUMAN00211	ENSG00000162441
HUMAN00212	ENSG00000173614
HUMAN00214	ENSG00000162444
HUMAN00216	ENSG00000130939
HUMAN00218	ENSG00000054523
HUMAN00219	ENSG00000142657
HUMAN00221	ENSG00000251503
HUMAN00224	ENSG00000241563
HUMAN00225	ENSG00000160049
HUMAN00226	ENSG00000142655
HUMAN00227	ENSG00000130940
HUMAN00229	ENSG00000175262
HUMAN00230	ENSG00000120948
HUMAN00235	ENSG00000009724
HUMAN00236	ENSG00000116649
HUMAN00241	ENSG00000171824
HUMAN00242	ENSG00000198793
HUMAN00243	ENSG00000171819
HUMAN00244	ENSG00000120942
HUMAN00246	ENSG00000204624
HUMAN00247	ENSG00000116661
HUMAN00249	ENSG00000132879
HUMAN00250	ENSG00000116663
HUMAN00251	ENSG00000116670
HUMAN00253	ENSG00000162490
HUMAN00256	ENSG00000177674
HUMAN00258	ENSG00000215910
HUMAN00259	ENSG00000177000
HUMAN00261	ENSG00000011021
HUMAN00262	ENSG00000175206
