Sat Jul 19 23:15:40 JST 2025
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/affy_probeset-ncbigene.tsv | grep -vP '^(\d{3,}(?:_[a-z])?_at)	(\d+)$' | head
  prefix:1007_s_at	  prefix:780
  prefix:1431_at	  prefix:1571
  prefix:1438_at	  prefix:2049
  prefix:1487_at	  prefix:2101
  prefix:1494_f_at	  prefix:1548
  prefix:1494_f_at	  prefix:1549
  prefix:1773_at	  prefix:2342
  prefix:1861_at	  prefix:572
  prefix:200001_at	  prefix:826
  prefix:200004_at	  prefix:1982
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/assembly_insdc-bioproject.tsv | grep -vP '^(GCA_\d{9})(\.\d+)?	(PRJ[DEN][A-Z]\d+)$' | head
  prefix:GCA_000001215	  prefix:PRJNA13812
  prefix:GCA_000001405	  prefix:PRJNA31257
  prefix:GCA_000001515	  prefix:PRJNA13184
  prefix:GCA_000001545	  prefix:PRJNA20869
  prefix:GCA_000001635	  prefix:PRJNA20689
  prefix:GCA_000001735	  prefix:PRJNA10719
  prefix:GCA_000001765	  prefix:PRJNA10626
  prefix:GCA_000001895	  prefix:PRJNA10629
  prefix:GCA_000001905	  prefix:PRJNA12569
  prefix:GCA_000001985	  prefix:PRJNA19555
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/assembly_insdc-biosample.tsv | grep -vP '^(GCA_\d{9})(\.\d+)?	(SAM[NED]\w?\d+)$' | head
  prefix:GCA_000001215	  prefix:SAMN02803731
  prefix:GCA_000001515	  prefix:SAMN02981217
  prefix:GCA_000001545	  prefix:SAMN02981238
  prefix:GCA_000001735	  prefix:SAMN03081427
  prefix:GCA_000001765	  prefix:SAMN00779672
  prefix:GCA_000001895	  prefix:SAMN02808228
  prefix:GCA_000001905	  prefix:SAMN02953622
  prefix:GCA_000001985	  prefix:SAMN02953685
  prefix:GCA_000002035	  prefix:SAMN06930106
  prefix:GCA_000002075	  prefix:SAMN02953658
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/assembly_insdc-insdc_master.tsv | grep -vP '^(GCA_\d{9})(\.\d+)?	(?:insdc:)?([A-Z]{4,6}\d{8,10})(?:\.\d+)?$' | head
  prefix:GCA_000001515	  prefix:AACZ00000000
  prefix:GCA_000001545	  prefix:ABGA00000000
  prefix:GCA_000001765	  prefix:AADE00000000
  prefix:GCA_000001895	  prefix:AABR00000000
  prefix:GCA_000001905	  prefix:AAGU00000000
  prefix:GCA_000001985	  prefix:ABAR00000000
  prefix:GCA_000002075	  prefix:AASC00000000
  prefix:GCA_000002115	  prefix:AADD00000000
  prefix:GCA_000002125	  prefix:ABBA00000000
  prefix:GCA_000002165	  prefix:AAHY00000000
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/bioproject-biosample.tsv | grep -vP '^(PRJ[DEN][A-Z]\d+)	(SAM[NED]\w?\d+)$' | head
  prefix:PRJNA19659	  prefix:SAMN00000003
  prefix:PRJNA12851	  prefix:SAMN00000013
  prefix:PRJNA28371	  prefix:SAMN00000139
  prefix:PRJNA33463	  prefix:SAMN00001340
  prefix:PRJNA33463	  prefix:SAMN00001362
  prefix:PRJNA213369	  prefix:SAMN00001876
  prefix:PRJNA36649	  prefix:SAMN00002210
  prefix:PRJNA36649	  prefix:SAMN00002215
  prefix:PRJNA36649	  prefix:SAMN00002216
  prefix:PRJNA36649	  prefix:SAMN00002217
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/bioproject-geo_series.tsv | grep -vP '^(PRJ[DEN][A-Z]\d+)	(GSE\d+)$' | head
  prefix:PRJNA84463	  prefix:GSE1
  prefix:PRJNA84465	  prefix:GSE10
  prefix:PRJNA84467	  prefix:GSE100
  prefix:PRJNA84469	  prefix:GSE101
  prefix:PRJNA84471	  prefix:GSE102
  prefix:PRJNA84473	  prefix:GSE103
  prefix:PRJNA84475	  prefix:GSE104
  prefix:PRJNA84477	  prefix:GSE105
  prefix:PRJNA84479	  prefix:GSE11
  prefix:PRJNA84481	  prefix:GSE110
awk -F '	' '{print "  prefix:" $1 "	" "  prefix:" $2}' output/tsv/bioproject-pubmed.tsv | grep -vP '^(PRJ[DEN][A-Z]\d+)	(?:pmid:|PMID:)?(\d+)$' | head
  prefix:PRJNA3	  prefix:14731275
  prefix:PRJNA3	  prefix:9403685
  prefix:PRJNA3	  prefix:10672174
  prefix:PRJNA4	  prefix:15064399
  prefix:PRJNA5	  prefix:9665876
  prefix:PRJNA7	  prefix:19422718
  prefix:PRJNA8	  prefix:10688204
  prefix:PRJNA8	  prefix:17565669
