P48347-1	UPI0000000E21
P48347-2	UPI000016D8F7
Q9S9Z8-1	UPI00015056CA
Q9S9Z8-3	UPI000034F44A
Q9S9Z8-2	UPI0000124DF2
P42643-1	UPI000000140A
P42644-1	UPI0000001182
P42644-2	UPI00005DC138
P46077-1	UPI00000013DC
P48349-1	UPI0000000D65
