FBgn0000003	FBtr0081624
FBgn0000008	FBtr0071763
FBgn0000008	FBtr0071764
FBgn0000008	FBtr0100521
FBgn0000008	FBtr0342981
FBgn0000014	FBtr0083387
FBgn0000014	FBtr0083388
FBgn0000014	FBtr0300485
FBgn0000014	FBtr0306337
FBgn0000015	FBtr0083381
