A0A0D8MPL3	WP_045148859
A0A2S7W0D2	WP_005371483
A0A2T3LS28	WP_045129365
A0A2T3LT14	WP_045127382
A0A2T3LUN0	WP_045128889
A0A2T3LV79	WP_045128264
A0A2T3LYN9	WP_045127966
A0A2T3LYV3	WP_045128023
A0A2T3LZ33	WP_045127137
A0A2T3LZC7	WP_045128806
