A0A2N5FQP8	3.2.1.22
A0A2N5FWM4	1.11.1.24
A0A2N5FX80	5.6.2.2
A0A2N5FXZ5	3.4.21.92
A0A2N5FZ72	3.4.21.92
A0A2N5FTK3	2.7.13.3
A0A2N5FU33	2.1.1.207
A0A2N5FW44	4.1.1.65
A0A2N5FWT0	3.1.4.58
A0A2N5FXW4	2.7.13.3
