ash:AL1_RS00015	D4IIJ5
ash:AL1_RS00035	D4IIJ6
ash:AL1_RS00040	D4IIJ7
ash:AL1_RS00050	D4IIJ8
ash:AL1_RS00055	D4IIJ9
ash:AL1_RS00070	D4IIK1
ash:AL1_RS00075	D4IIK2
ash:AL1_RS00080	D4IIK3
ash:AL1_RS00090	D4IIK5
ash:AL1_RS00095	D4IIK7
